station_id,station_name,as_of,status_updated_at,status_observed_at,status_age_minutes,observation_age_minutes,freshness_flag,lat,lng,total_chargers,available_count,observed_count,observation_coverage,observed_available,static_candidate_ready,recheck_required,availability_guaranteed,data_quality_flags,request_vehicle_model,request_current_soc_percent,request_eta_minutes,request_route_distance_km,arrival_soc_percent,soc_risk_level,is_operating_now,schema_version
ME18C229,군위(춘천) 휴게소,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:26:34.000000002+00:00,2026-07-28 07:32:16.999999998+00:00,17.154889033333333,11.438222366666668,CHECK_REQUIRED,36.264836,128.576084,2,2,2,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME18C230,군위국민체육센터 주차장,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:28:37.000000002+00:00,2026-07-28 07:32:16.999999998+00:00,15.104889033333334,11.438222366666668,CHECK_REQUIRED,36.237,128.573,2,2,2,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME18C251,삼국유사 군위(서울) 휴게소,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:30:01.999999998+00:00,2026-07-28 07:32:16.999999998+00:00,13.688222366666668,11.438222366666668,AGING,36.07904,128.697565,2,1,2,1.0,True,True,True,False,AGING,,,,,,,Y,station_feature_v1
ME18C254,대구 문화예술회관,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:28:10.000000003+00:00,2026-07-28 07:32:16.999999998+00:00,15.554889033333334,11.438222366666668,CHECK_REQUIRED,35.84432655,128.56020707,2,2,2,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME18C255,달서별빛캠프 캠핑장,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:28:52.000000002+00:00,2026-07-28 07:32:16.999999998+00:00,14.854889033333334,11.438222366666668,AGING,35.824056,128.55675,2,2,2,1.0,True,True,False,False,AGING,,,,,,,Y,station_feature_v1
ME18C257,논공(대구) 휴게소,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:26:49.999999998+00:00,2026-07-28 07:32:16.999999998+00:00,16.888222366666668,11.438222366666668,CHECK_REQUIRED,35.764417,128.402159,2,2,2,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME18C258,해안동 공영주차장,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:27:09+00:00,2026-07-28 07:32:16.999999998+00:00,16.5715557,11.438222366666668,CHECK_REQUIRED,35.895994,128.584206,2,2,2,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME18C259,율암동 공영주차장,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:27:25.999999998+00:00,2026-07-28 07:32:16.999999998+00:00,16.288222366666666,11.438222366666668,CHECK_REQUIRED,35.880036,128.701384,2,2,2,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME18C260,연암공원,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:26:40.000000002+00:00,2026-07-28 07:32:16.999999998+00:00,17.054889033333335,11.438222366666668,CHECK_REQUIRED,35.899973,128.604496,2,2,2,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME18C261,중앙119 구조본부,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:27:07.999999998+00:00,2026-07-28 07:32:16.999999998+00:00,16.588222366666667,11.438222366666668,CHECK_REQUIRED,35.665818708,128.39136796,2,2,2,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
