statId,statNm,lat,lng,available_count,total_chargers,availability_ratio_observed,reliability_grade,reliability_grade_effective,observation_age_minutes,as_of_ts,recommend_public_default,parking_is_mock,traffic_is_mock
ME20C288,한국도로공사 서대구영업소,35.8833794,128.5250358,2,2,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME20C304,대구경북첨단의료산업진흥재단,35.88159471,128.73661614,3,3,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME20C414,낙동강물환경연구소,35.654018106,128.42198098,4,4,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME20D206,한국산업기술평가관리원,35.878648,128.733636,0,2,,CHECK_REQUIRED,CHECK_REQUIRED,,2026-08-09T07:23:21+09:00,True,False,False
ME21A140,한국국토정보공사 군위지사,36.2371534,128.5676506,0,1,,CHECK_REQUIRED,CHECK_REQUIRED,,2026-08-09T07:23:21+09:00,True,False,False
ME21A903,논공(대구) 휴게소,35.7649622,128.40266,4,4,1.0,CHECK_REQUIRED,CHECK_REQUIRED,20.016666666666666,2026-08-09T07:23:21+09:00,True,False,False
ME21A910,논공(광주) 휴게소,35.7672171,128.4034658,3,3,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME21B130,대구강북경찰서,35.9435074,128.5660828,1,1,1.0,CHECK_REQUIRED,CHECK_REQUIRED,20.016666666666666,2026-08-09T07:23:21+09:00,True,False,False
ME21B198,대구수성경찰서,35.85836914,128.63194358,0,1,0.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME21B1D2,소방장비관리센터,36.154101,128.5832387,0,1,,CHECK_REQUIRED,CHECK_REQUIRED,,2026-08-09T07:23:21+09:00,True,False,False
ME21B262,군위(춘천) 휴게소,36.2658005,128.5768088,1,2,1.0,CHECK_REQUIRED,CHECK_REQUIRED,20.016666666666666,2026-08-09T07:23:21+09:00,True,False,False
ME21B301,한국산업단지공단 대구지역본부,35.8359798,128.5063884,1,3,1.0,CHECK_REQUIRED,CHECK_REQUIRED,20.016666666666666,2026-08-09T07:23:21+09:00,True,False,False
ME21C219,근로복지공단 대구병원,35.951406,128.564869,2,2,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME21C228,대구성서경찰서,35.853128,128.509392,2,2,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME21E401,낙동강 물환경연구소,35.6539132,128.4221178,0,4,,CHECK_REQUIRED,CHECK_REQUIRED,,2026-08-09T07:23:21+09:00,True,False,False
