station_id_daegu,station_name_daegu,lat,lng,statId,statNm,distance_m,radius_m,matched
DAGU0098,(RS)대구시_동인동 행정복지센터,35.86787236,128.6092495,CV003570,대구시_동인동 행정복지센터,11.7,80.0,True
DAGU0099,(RS)대구시_오리1리마을회관,35.789853,128.592925,CV003567,대구시_오리1리마을회관,23.5,80.0,True
DALS0002,(RS)대구시_본동행정복지센터,35.8343136,128.5411569,CV003115,대구시_본동행정복지센터,17.5,80.0,True
DASA0002,(RS)대구시_다사체육공원,35.890108,128.477949,CV003159,대구시_다사체육공원,0.0,80.0,True
DBJM0001,(RS)대구시_대봉2동 주민센터,35.858762,128.599367,CV000616,대구시_대봉2동 주민센터,0.0,80.0,True
DDBS0001,(RS)대구시_만촌3동행정복지센터,35.855502,128.650573,CV003462,대구시_만촌3동행정복지센터,0.0,80.0,True
DDHS0001,(RS)대구시_대구동구복합혁신센터,35.8777734,128.7166719,CV004339,대구시_대구동구복합혁신센터,0.0,80.0,True
DDKC0001,(RS)대구시_도동 측백향커뮤니티센터,35.919051,128.662238,CV000979,대구시_도동 측백향커뮤니티센터,0.0,80.0,True
DGAS0001,(RS)대구시_안심1동 행정복지센터,35.870334,128.701298,CV000540,대구시_안심1동 행정복지센터,0.0,80.0,True
DGAS0002,(RS)대구시_안심4동 행정복지센터,35.870306,128.710957,CV000539,대구시_안심4동 행정복지센터,0.0,80.0,True
DGBA0001,(RS)대구시_범어1동,35.855614,128.622048,CV000813,대구시_범어1동,0.0,80.0,True
DGBB0001,(RS)대구시_대구은행 본점,35.859196,128.614918,CV000509,대구시_대구은행 본점,0.0,80.0,True
DGBC0001,(RS)대구시_방촌동 행정복지센터,35.880036,128.665257,,,,80.0,False
DGBD0001,(RS)대구시_봉덕3동 행정복지센터,35.842419,128.59594,CV000519,대구시_봉덕3동 행정복지센터,0.0,80.0,True
DGBG0001,(RS)대구시_대구은행 3공단영업부지점,35.894408,128.57153,CV000557,대구시_대구은행 3공단영업부지점,0.0,80.0,True
DGBM0001,(RS)대구시_범물1동,35.817729,128.645963,CV000817,대구시_범물1동,0.0,80.0,True
DGBR0001,(RS)대구시_본리동 행정복지센터,35.841014,128.543167,CV000551,대구시_본리동 행정복지센터,0.0,80.0,True
DGCS0001,(RS)대구시_침산푸르지오,35.88590766,128.5879862,PW000459,침산1차푸르지오1단지-103동지하2층,18.1,80.0,True
DGDC0001,(RS)대구시_동촌동 행정복지센터,35.889936,128.649635,CV000542,대구시_동촌동 행정복지센터,8.0,80.0,True
DGDD0001,(RS)대구시_신당동,35.858946,128.498837,CV000818,대구시_신당동,0.0,80.0,True
