statId,statNm,matched_id,matched_name,distance_m,radius_m,matched,remaining_spaces,total_spaces,occupancy_rate,congestion_status,has_realtime,parking_lat,parking_lng,parking_source
PIS00525,대구 달성군 옥포허브시티,,,,1000.0,False,,,,,False,,,team5_pis
PIS00526,대구 달서구 월배쌍용예가,,,,1000.0,False,,,,,False,,,team5_pis
PIS00527,대구 달성군 현대썬앤빌대구,,,,1000.0,False,,,,,False,,,team5_pis
PIS00528,대구 수성구 삼성화재범어사옥,151-1-000026,동부로30길 (1),249.3,1000.0,True,,,,,False,35.867534,128.628687,team5_pis
PIS00529,대구 달성군 화원한샘타운,,,,1000.0,False,,,,,False,,,team5_pis
PIS00530,대구 북구 화성리버파크1단지,154-1-000295,화성리버파크1단지동측,94.0,1000.0,True,,,,,False,35.922594,128.598396,team5_pis
PIS00532,대구 수성구 수성3가화성파크드림1단지,,,,1000.0,False,,,,,False,,,team5_pis
PIS00533,대구 수성구 수성3가화성파크드림2단지,,,,1000.0,False,,,,,False,,,team5_pis
PIS00537,대구 동구 롯데택배대구황금대리점,151-2-000099,율암동 1249 공한지주차장,503.3,1000.0,True,,,,,False,35.873489055,128.703686035,team5_pis
PIS00538,대구 수성구 호텔라온제나,,,,1000.0,False,,,,,False,,,team5_pis
PIS00539,대구 북구 영남네오빌블루,154-1-000137,동서리치모아동측,288.8,1000.0,True,,,,,False,35.92379,128.598426,team5_pis
PIS00540,대구 북구 센트럴파크대현,154-1-000123,대현남로8길,220.9,1000.0,True,,,,,False,35.881711,128.608232,team5_pis
PIS00543,대구 수성구 시지3차서한이다음,,,,1000.0,False,,,,,False,,,team5_pis
PIS00544,대구 수성구 범물태성한라창신,,,,1000.0,False,,,,,False,,,team5_pis
PIS00545,대구 서구 코오롱맨션,152-1-000050,동서제일아파트 북측,51.9,1000.0,True,,,,,False,35.859305,128.547406,team5_pis
PIS00546,대구 동구 한국가스공사본사,151-2-000036,신서중앙공원 주차장,831.6,1000.0,True,,,,,False,35.880463,128.734154,team5_pis
PIS00548,대구 서구 대구서부고용복지플러스센터,152-1-000017,내당동삼익맨션 남측,61.1,1000.0,True,,,,,False,35.859338,128.556191,team5_pis
PIS00549,대구 달서구 월성화성타운,,,,1000.0,False,,,,,False,,,team5_pis
PIS00550,대구 동구 신세계백화점대구점,151-1-000087,신암남로24길,288.3,1000.0,True,,,,,False,35.882057,128.633229,team5_pis
PIS00551,대구 동구 이마트반야월점,151-1-000119,안심로73길,283.7,1000.0,True,,,,,False,35.86991,128.724369,team5_pis
PIS00552,대구 달서구 이마트성서점,,,,1000.0,False,,,,,False,,,team5_pis
PIS00553,대구 북구 이마트칠성점,154-1-000251,침산2차동아무지개아파트동측,200.2,1000.0,True,,,,,False,35.886516,128.591273,team5_pis
PIS00554,대구 달서구 이마트월배점,,,,1000.0,False,,,,,False,,,team5_pis
PIS00555,대구 수성구 이마트만촌점,151-1-000167,화랑로19길,241.8,1000.0,True,,,,,False,35.873256,128.636553,team5_pis
PIS00556,대구 서구 이마트T비산점,154-1-000288,팔달북로3길(1),168.9,1000.0,True,,,,,False,35.891317,128.556101,team5_pis
PIS00557,대구 달성군 대실역청아람1단지아파트,,,,1000.0,False,,,,,False,,,team5_pis
PIS00558,대구 수성구 범어청구푸른마을,,,,1000.0,False,,,,,False,,,team5_pis
