layer,radius_m,reason,poi_id,name
city_tour,,NO_COORDINATES,CITYTOUR-0146,순천박씨 세거지
city_tour,,NO_COORDINATES,CITYTOUR-0147,스파밸리
city_tour,,NO_COORDINATES,CITYTOUR-0148,신숭겸 장군 유적지
city_tour,,NO_COORDINATES,CITYTOUR-0149,신천
city_tour,,NO_COORDINATES,CITYTOUR-0150,아미산
city_tour,,NO_COORDINATES,CITYTOUR-0151,아양기찻길
city_tour,,NO_COORDINATES,CITYTOUR-0152,아양아트센터
city_tour,,NO_COORDINATES,CITYTOUR-0153,안지랑 곱창골목
city_tour,,NO_COORDINATES,CITYTOUR-0154,압곡사
city_tour,,NO_COORDINATES,CITYTOUR-0155,앞산 맛둘레길
city_tour,,NO_COORDINATES,CITYTOUR-0156,앞산 카페거리
city_tour,,NO_COORDINATES,CITYTOUR-0157,앞산 케이블카
city_tour,,NO_COORDINATES,CITYTOUR-0158,앞산공원
city_tour,,NO_COORDINATES,CITYTOUR-0159,앞산전망대
city_tour,,NO_COORDINATES,CITYTOUR-0160,앞산해넘이 전망대
city_tour,,NO_COORDINATES,CITYTOUR-0161,약령시 웰빙 체험
city_tour,,NO_COORDINATES,CITYTOUR-0162,약령시 한의약박물관
city_tour,,NO_COORDINATES,CITYTOUR-0163,어린이세상
city_tour,,NO_COORDINATES,CITYTOUR-0164,어슬렁대추정원
city_tour,,NO_COORDINATES,CITYTOUR-0165,어울아트센터
city_tour,,NO_COORDINATES,CITYTOUR-0166,에스투뷰텍 라운지
city_tour,,NO_COORDINATES,CITYTOUR-0167,에코테마파크 대구 숲(휴업중)
city_tour,,NO_COORDINATES,CITYTOUR-0168,염불암 계곡
city_tour,,NO_COORDINATES,CITYTOUR-0169,영남대로
city_tour,,NO_COORDINATES,CITYTOUR-0170,영남제일관
city_tour,,NO_COORDINATES,CITYTOUR-0171,영상분수
city_tour,,NO_COORDINATES,CITYTOUR-0172,예전소극장
city_tour,,NO_COORDINATES,CITYTOUR-0173,오토바이골목
city_tour,,NO_COORDINATES,CITYTOUR-0174,옥연지 송해공원
city_tour,,NO_COORDINATES,CITYTOUR-0175,온천엘리바덴
city_tour,,NO_COORDINATES,CITYTOUR-0176,옹기종기행복마을
city_tour,,NO_COORDINATES,CITYTOUR-0177,옹기종기행복마을
city_tour,,NO_COORDINATES,CITYTOUR-0178,옻골동산
city_tour,,NO_COORDINATES,CITYTOUR-0179,옻골마을 전통문화 체험
city_tour,,NO_COORDINATES,CITYTOUR-0180,옻골마을(경주최씨 종가)
city_tour,,NO_COORDINATES,CITYTOUR-0181,와룡산 상리봉 전망대
city_tour,,NO_COORDINATES,CITYTOUR-0182,용연사
city_tour,,NO_COORDINATES,CITYTOUR-0183,원효구도의 길
city_tour,,NO_COORDINATES,CITYTOUR-0184,월곡역사 박물관
city_tour,,NO_COORDINATES,CITYTOUR-0185,월광수변공원
city_tour,,NO_COORDINATES,CITYTOUR-0186,위천수변테마공원
city_tour,,NO_COORDINATES,CITYTOUR-0187,유가사
city_tour,,NO_COORDINATES,CITYTOUR-0188,유치곤 장군 호국 기념관
city_tour,,NO_COORDINATES,CITYTOUR-0189,육신사
city_tour,,NO_COORDINATES,CITYTOUR-0190,음악다방 쎄라비
city_tour,,NO_COORDINATES,CITYTOUR-0191,의흥향교
city_tour,,NO_COORDINATES,CITYTOUR-0192,"이상화고택, 서상돈고택"
city_tour,,NO_COORDINATES,CITYTOUR-0193,이상화묘
