statId,statNm,matched_id,matched_name,distance_m,radius_m,matched,traffic_source
CU530008,시지동화 아이위시,,,,1000,False,utic
CU530009,수성2차e편한세상,L93171007174,[공사] 달구벌대로 만촌네거리 에서 남부빌딩 방향 1차로 지하 시설 작업 주의운전,511.2,1000,True,utic
CU530010,화성센트럴파크,,,,1000,False,utic
CU530011,침산코오롱하늘채2단지,L93171040039,[공사] 성북로 침산초등학교앞 교차로 에서 침산동4767 방향 1차로 도로공사 주의운전,938.9,1000,True,utic
CU530012,에코폴리스동화아이위시3차,,,,1000,False,utic
CU530014,율하역엘크루아파트,,,,1000,False,utic
CV000007,대영코어텍 주차장,,,,1000,False,utic
CV000039,대구 컨벤션센터,,,,1000,False,utic
CV000048,대구시_수성의료지구(대구도시공사),,,,1000,False,utic
CV000051,대구시_지능형자동차부품진흥원,,,,1000,False,utic
CV000103,대구보건대학교(입구 주차장),,,,1000,False,utic
CV000112,한국장학재단,L93171025789,[공사] 대현로 대한응급구조사협회 에서 공고네거리 방향 2차로 도로공사 주의운전,57.1,1000,True,utic
CV000113,MH엘퍼스트오페라오피스텔,L93171040039,[공사] 성북로 침산초등학교앞 교차로 에서 침산동4767 방향 1차로 도로공사 주의운전,576.4,1000,True,utic
CV000146,(주)동원약품,,,,1000,False,utic
CV000149,동화사집단시설지구(씨네80),,,,1000,False,utic
CV000151,수성관광호텔(주차타워 A1B1 구역),,,,1000,False,utic
CV000152,매일신문사,,,,1000,False,utic
CV000154,대구자동차경매장(후문),,,,1000,False,utic
CV000163,주공그린빌1단지,,,,1000,False,utic
CV000165,마크팰리스범어,,,,1000,False,utic
CV000194,문양역,,,,1000,False,utic
CV000195,대구가창 광덕사,,,,1000,False,utic
CV000219,팔공CC(우경개발),,,,1000,False,utic
CV000224,대구컨벤션센터(엑스코)신관,,,,1000,False,utic
CV000321,이시아폴리스 근생판매시설,,,,1000,False,utic
CV000375,트리팜,,,,1000,False,utic
CV000390,청기와아파트,,,,1000,False,utic
CV000394,하늘천따지식당,,,,1000,False,utic
CV000406,대구광역시 상수도사업본부 수질연구소,,,,1000,False,utic
CV000446,태왕아너스아파트(황금동),,,,1000,False,utic
CV000478,D모텔,,,,1000,False,utic
CV000500,대구시_한국도로공사(유천IC),,,,1000,False,utic
CV000501,대구시_저소득층 밀집지구 지식산업센터,,,,1000,False,utic
CV000502,대구시_장기공영주차장,,,,1000,False,utic
CV000503,대구시_월촌공원주차장,,,,1000,False,utic
CV000504,대구시_운암지 공영주차장,,,,1000,False,utic
CV000505,대구시_상호림공원,,,,1000,False,utic
CV000506,대구시_대현동 행정복지센터,L93171025789,[공사] 대현로 대한응급구조사협회 에서 공고네거리 방향 2차로 도로공사 주의운전,574.6,1000,True,utic
CV000507,대구시_대명11동 행정복지센터,,,,1000,False,utic
CV000508,대구시_대구테크노파크 신기술산업지원센터,,,,1000,False,utic
CV000509,대구시_대구은행 본점,,,,1000,False,utic
CV000510,대구시_대구유통단지 전자관,,,,1000,False,utic
CV000512,대구시_대구지식산업센터,,,,1000,False,utic
