statId,statNm,matched_id,matched_name,distance_m,radius_m,matched
ME19F410,위천수변 테마공원,,,,1000,False
ME19F412,물산업클러스터,,,,1000,False
ME19W401,국가물산업클러스터 주차장,,,,1000,False
ME19X404,대구스타디움 주차장,,,,1000,False
ME19X405,대구 동촌유원지 서편주차장,1614061,ë ë¬´ì¬,223.0,1000,True
ME19X413,도림사 주차장,,,,1000,False
ME19X430,대구봉무공원 주차장,,,,1000,False
ME19Y406,롯데렌탈 대구지점,2742496,동대구역광장,193.1,1000,True
ME19Z223,이마트 성서점,,,,1000,False
ME20C182,두류1·2동1공영주차장,128627,이월드,437.1,1000,True
ME20C183,서남시장공영주차장,1118418,감삼못공원,848.2,1000,True
ME20C184,송현주공시장 공영주차장,,,,1000,False
ME20C185,한국산업인력공단 대구지역본부,,,,1000,False
ME20C186,논공읍행정복지센터,,,,1000,False
ME20C187,달성군보건소,,,,1000,False
ME20C188,신암3동행정복지센터,2742496,동대구역광장,507.2,1000,True
ME20C189,한국사학진흥재단,,,,1000,False
ME20C285,달성습지생태학습관,,,,1000,False
ME20C286,읍내동 행정복지센터,,,,1000,False
ME20C287,한국도로공사 북대구영업소,,,,1000,False
ME20C288,한국도로공사 서대구영업소,,,,1000,False
ME20C304,대구경북첨단의료산업진흥재단,,,,1000,False
ME20C414,낙동강물환경연구소,,,,1000,False
ME20D206,한국산업기술평가관리원,,,,1000,False
ME21A140,한국국토정보공사 군위지사,,,,1000,False
ME21A903,논공(대구) 휴게소,,,,1000,False
ME21A910,논공(광주) 휴게소,,,,1000,False
ME21B130,대구강북경찰서,,,,1000,False
ME21B198,대구수성경찰서,,,,1000,False
ME21B1D2,소방장비관리센터,,,,1000,False
ME21B262,군위(춘천) 휴게소,,,,1000,False
ME21B301,한국산업단지공단 대구지역본부,,,,1000,False
