statId,statNm,matched_id,matched_name,distance_m,radius_m,matched
CV000534,대구시_대신동 행정복지센터,27110-00001,달성공원,934.0,1000,True
CV000535,대구시_중구청,27110-00004,국채보상운동기념공원,386.7,1000,True
CV000536,대구시_대명2동 행정복지센터,,,,1000,False
CV000537,대구시_대명3동 행정복지센터,27200-00002,대명2공원,895.4,1000,True
CV000538,대구시_대명4동 행정복지센터,27290-00179,두류공원,959.7,1000,True
CV000539,대구시_안심4동 행정복지센터,27140-00009,안심공원,774.6,1000,True
CV000540,대구시_안심1동 행정복지센터,27140-00009,안심공원,182.1,1000,True
CV000542,대구시_동촌동 행정복지센터,27140-00040,대구선동촌공원,45.1,1000,True
CV000543,대구시_효목1동 행정복지센터,27140-00043,대구선아양공원,896.6,1000,True
CV000544,대구시_도평동 공영주차장,27140-00008,불로고분공원,417.5,1000,True
CV000547,대구시_고성동 행정복지센터,27110-00007,수창공원,640.5,1000,True
CV000549,대구시_무태조야동 행정복지센터,27230-00010,서변공원,156.0,1000,True
CV000550,대구시_태전1동 행정복지센터,27230-00094,태전공원,562.0,1000,True
CV000551,대구시_본리동 행정복지센터,,,,1000,False
CV000553,대구시_송현2동 행정복지센터,27290-00035,학산공원,692.0,1000,True
CV000554,대구시_하빈면사무소,,,,1000,False
CV000555,대구시_신암2동 행정복지센터,27140-00081,기상대기념공원,808.8,1000,True
CV000556,대구시_대구은행 월배지점,27290-00036,한샘청동공원,854.3,1000,True
CV000557,대구시_대구은행 3공단영업부지점,,,,1000,False
CV000558,대구시_대구은행 신암동지점,27140-00081,기상대기념공원,610.3,1000,True
CV000559,대구시_남구청,,,,1000,False
CV000560,대구시_명성푸르지오,27230-00001,침산공원,722.4,1000,True
CV000561,대구시_침산푸르지오,27110-00007,수창공원,930.3,1000,True
CV000562,대구시_차량등록사업소,27260-00074,화랑공원,476.8,1000,True
CV000564,대구시_진천삼성래미안,27290-00004,대곡공원,919.8,1000,True
CV000565,대구시_유가읍 행정복지센터,,,,1000,False
CV000566,대구시_옥포읍 행정복지센터,,,,1000,False
CV000567,대구시_남산3동 행정복지센터,,,,1000,False
CV000569,대구시_수성의료지구,27260-00082,의료공원,251.8,1000,True
CV000599,성일모터스,,,,1000,False
CV000616,대구시_대봉2동 주민센터,27110-00006,건들바위역사공원,276.0,1000,True
CV000618,한국농어촌공사 달성지사,,,,1000,False
CV000620,한국부동산원,,,,1000,False
CV000630,대구기상과학관(대구지방기상청),27140-00002,망우당공원,366.3,1000,True
CV000648,포르쉐 데스티네이션 투썸플레이스 대구가창점,,,,1000,False
CV000657,포르쉐 데스티네이션 SG모터스,,,,1000,False
CV000658,포르쉐 데스티네이션 메종듀미디/에이시언키친,,,,1000,False
CV000665,포르쉐 데스티네이션 미성PGA GC,,,,1000,False
CV000667,황토마을 참숯가마찜질방,,,,1000,False
CV000670,JD모터스 대구성서,27290-00054,출판밸리수변공원,195.2,1000,True
CV000678,채비초급속충전소2,,,,1000,False
CV000701,대구죽곡그린주차빌딩,,,,1000,False
CV000724,AFW(주),,,,1000,False
CV000750,국립대구과학관,,,,1000,False
CV000770,아우디_대구 전시장(아이언오토),,,,1000,False
CV000783,대구시_신매공원,,,,1000,False
CV000799,아우디_서대구 전시장(코오롱아우토),,,,1000,False
CV000805,대구시_상리공원,27170-00003,상리공원,63.3,1000,True
CV000806,대구시_효목2동,27260-00074,화랑공원,814.5,1000,True
CV000807,대구시_지저동,27140-00043,대구선아양공원,883.3,1000,True
CV000808,대구시_내당4동,27170-00004,감삼못공원,85.3,1000,True
CV000809,대구시_칠성동,,,,1000,False
CV000810,대구시_산격1동,27230-00002,연암공원,320.4,1000,True
CV000811,대구시_태전2동,27230-00094,태전공원,818.7,1000,True
CV000812,대구시_삼덕동,27110-00004,국채보상운동기념공원,719.1,1000,True
CV000813,대구시_범어1동,27260-00075,수성공원,850.3,1000,True
CV000814,대구시_지산2동,27260-00076,지산공원,914.8,1000,True
CV000815,대구시_두류3동,27170-00004,감삼못공원,593.0,1000,True
CV000816,대구시_상인3동행정복지센터,27290-00028,월촌공원,324.3,1000,True
CV000817,대구시_범물1동,27260-00077,범물공원,229.6,1000,True
CV000818,대구시_신당동,27290-00018,와룡(위)공원,190.0,1000,True
CV000831,대구 파티마병원 동관 입구 주차장,27140-00081,기상대기념공원,580.7,1000,True
CV000849,채비초급속충전소1,,,,1000,False
CV000891,대구테크비즈센터,,,,1000,False
CV000896,홈플러스 성서점,27290-00019,용산공원,740.1,1000,True
CV000897,포르쉐 데스티네이션 홈플러스 대구성서점,27290-00019,용산공원,753.2,1000,True
CV000899,포르쉐 HPC 신세계백화점 대구점,27140-00043,대구선아양공원,757.6,1000,True
CV000902,국민건강보험공단 대구경북지역본부,27170-00004,감삼못공원,572.5,1000,True
CV000906,대구시_신암1동 행정복지센터,27140-00081,기상대기념공원,252.5,1000,True
CV000908,대구시_공산동 행정복지센터,,,,1000,False
CV000934,커들포드 카페,,,,1000,False
CV000952,동대구벤처밸리 기업성장지원센터,,,,1000,False
CV000976,홈플러스 칠곡점,,,,1000,False
CV000977,포르쉐 데스티네이션 홈플러스 칠곡점,,,,1000,False
CV000978,한국산업기술평가관리원,27260-00076,지산공원,771.9,1000,True
CV000979,대구시_도동 측백향커뮤니티센터,,,,1000,False
CV000980,대구시_태전공원,27230-00004,태전공원,163.8,1000,True
CV000981,대구시_수성소방서,27260-00076,지산공원,771.9,1000,True
CV000982,대구시_고산2동 행정복지센터,27260-00079,노변공원,623.5,1000,True
CV000985,행정안전부 정부청사관리본부 대구청사관리소,,,,1000,False
CV000991,대구테크노파크,27260-00086,의료2공원,133.8,1000,True
CV001002,(주)인터불고 엑스코,27230-00007,신기공원,226.4,1000,True
CV001048,대구시_유천동 행정복지센터,27290-00025,한마음공원,71.2,1000,True
CV001076,서재 하이빌딩 전기차충전소,27710-00039,서재공원,623.4,1000,True
CV001113,동구 각산종합상가 전기차 충전소,,,,1000,False
CV001121,시설공단대구_신매2 공영주차장,27260-00080,매호공원,662.5,1000,True
CV001122,시설공단대구_신기 공영주차장,27230-00007,신기공원,85.3,1000,True
CV001123,시설공단대구_호림1 공영주차장,,,,1000,False
CV001124,시설공단대구_호림2 공영주차장,,,,1000,False
CV001126,시설공단대구_본리2 공영주차장,27290-00008,무지개공원,135.2,1000,True
