statId,parking_matched_id,parking_remaining_std_1h,parking_remaining_delta_1h,parking_realtime_ticks_1h
CV002189,151-2-000008,2.050385727772476,-5.0,7.0
CV002191,156-1-000042,,,
CV002196,151-1-000073,,,
CV002197,150-1-000105,,,
CV002201,151-2-000034,,,
CV002202,151-2-000017,,,
CV002237,151-2-000036,,,
CV002238,156-1-000028,,,
CV002243,155-1-000039,,,
CV002249,155-2-000065,0.34992710611188277,-1.0,7.0
CV002250,155-2-000065,0.34992710611188277,-1.0,7.0
CV002253,157-1-000007,,,
CV002262,151-2-000065,,,
CV002266,156-2-000031,3.010186786529356,-8.0,7.0
CV002271,156-1-000037,,,
CV002279,151-2-000028,,,
CV002289,154-1-000084,,,
CV002290,154-1-000084,,,
CV002291,154-1-000084,,,
CV002292,154-1-000084,,,
CV002302,154-2-000058,,,
CV002320,152-1-000077,,,
CV002321,156-2-000025,,,
CV002324,156-2-000011,,,
CV002336,153-1-000045,,,
CV002346,154-1-000180,,,
CV002347,154-2-000072,,,
CV002348,157-1-000102,,,
CV002350,156-2-000008,,,
CV002351,155-2-000091,,,
CV002358,155-1-000071,,,
CV002371,153-2-000067,,,
CV002372,155-2-000059,9.559694299612351,-26.0,7.0
CV002388,157-4-000007,,,
CV002389,154-1-000142,,,
CV002390,154-1-000142,,,
CV002393,151-2-000042,,,
CV002394,151-2-000041,,,
CV002397,157-1-000131,,,
CV002401,151-2-000091,,,
CV002431,154-1-000165,,,
CV002440,155-1-000117,,,
CV002468,151-2-000028,,,
CV002471,150-1-000151,,,
CV002516,157-4-000007,,,
CV002570,154-1-000105,,,
CV002607,155-4-000015,,,
CV002608,155-4-000015,,,
CV002609,155-4-000015,,,
CV002620,156-2-000073,,,
CV002623,156-4-000014,,,
CV002633,154-1-000227,,,
CV002669,156-2-000004,,,
CV002689,157-1-000002,,,
CV002690,157-1-000002,,,
CV002715,155-1-000001,,,
CV002733,154-1-000083,,,
CV002735,157-1-000075,,,
CV002736,157-1-000075,,,
CV002766,154-1-000084,,,
CV002767,154-1-000084,,,
CV002776,156-4-000014,,,
CV002798,155-2-000090,,,
CV002819,155-1-000125,,,
CV002838,155-2-000056,,,
CV002862,157-1-000127,,,
CV002872,157-1-000069,,,
CV002915,152-2-000027,,,
CV002939,155-2-000063,1.030157507275429,2.0,7.0
CV002940,361-2-000036,,,
CV002950,361-3-000003,,,
CV002951,150-3-000001,,,
CV002956,151-2-000096,,,
CV002995,155-2-000102,,,
CV003039,154-1-000154,0.49487165930539406,-1.0,7.0
CV003040,155-1-000144,,,
CV003041,155-2-000055,,,
CV003042,156-2-000098,,,
CV003062,153-1-000069,,,
CV003063,154-1-000081,,,
