statId,nearest_link_id,nearest_link_m,link_speed_kph,link_cong_grade,link_cong_grade_nm
CV001793,1520001402,71.5,28.0,1.0,원활
CV001795,1540244800,159.6,33.0,1.0,원활
CV001802,,,,,
CV001836,1550047106,60.3,30.0,1.0,원활
CV001851,1520011900,329.8,23.0,2.0,지체
CV001885,1560031600,194.4,36.0,1.0,원활
CV001891,1560037000,207.9,36.0,1.0,원활
CV001894,1540057000,303.3,37.0,1.0,원활
CV001895,1540007500,274.1,21.0,2.0,지체
CV001904,1550057802,285.3,17.0,2.0,지체
CV001906,1560023400,172.3,60.0,1.0,원활
CV001925,,,,,
CV001941,1500014900,91.3,21.0,2.0,지체
CV001967,,,,,
CV001969,1550017500,266.3,29.0,1.0,원활
CV001970,1530022700,172.2,19.0,2.0,지체
CV001971,,,,,
CV001972,1510038604,355.1,22.0,2.0,지체
CV001973,1510007304,40.8,20.0,2.0,지체
CV001974,1540033701,102.2,17.0,2.0,지체
CV001976,1500034700,159.9,25.0,2.0,지체
CV001994,1540102602,75.7,42.0,1.0,원활
CV002012,1560015600,181.5,53.0,1.0,원활
CV002014,1560077308,321.1,25.0,2.0,지체
CV002033,1560015600,360.6,53.0,1.0,원활
CV002034,1560012402,302.5,34.0,1.0,원활
CV002048,,,,,
CV002068,1540076601,115.8,41.0,1.0,원활
CV002069,,,,,
CV002072,1540042100,311.2,21.0,2.0,지체
CV002085,,,,,
CV002087,1550055500,35.2,20.0,2.0,지체
CV002099,,,,,
CV002107,1550007406,204.6,27.0,1.0,원활
CV002115,,,,,
CV002128,1510001500,305.0,22.0,2.0,지체
CV002131,1540001800,178.8,23.0,2.0,지체
CV002134,1540012202,324.9,32.0,1.0,원활
CV002139,1510038301,28.7,28.0,1.0,원활
CV002144,,,,,
CV002150,1570036100,214.9,44.0,1.0,원활
CV002155,,,,,
CV002158,1520000203,154.7,29.0,1.0,원활
CV002163,,,,,
CV002169,,,,,
CV002174,,,,,
CV002175,1500044600,155.8,53.0,1.0,원활
CV002176,1510025804,43.5,39.0,1.0,원활
CV002177,1510025804,43.5,39.0,1.0,원활
CV002178,1510025804,43.5,39.0,1.0,원활
CV002179,1510025804,43.5,39.0,1.0,원활
CV002180,1510025804,43.5,39.0,1.0,원활
CV002181,1560098900,157.4,24.0,2.0,지체
CV002188,,,,,
CV002189,1510035600,221.4,31.0,1.0,원활
CV002191,1560077305,72.0,25.0,2.0,지체
CV002196,,,,,
CV002197,1500004800,230.1,25.0,2.0,지체
CV002201,,,,,
CV002202,,,,,
CV002203,,,,,
CV002237,,,,,
CV002238,1560246800,55.0,72.0,1.0,원활
CV002243,1550032900,88.1,21.0,2.0,지체
CV002249,,,,,
CV002250,,,,,
CV002253,,,,,
CV002262,1510053404,222.6,52.0,1.0,원활
CV002266,1560099000,228.7,24.0,2.0,지체
CV002271,1560013100,280.8,42.0,1.0,원활
CV002279,,,,,
CV002288,1540081801,71.0,41.0,1.0,원활
CV002289,1540081803,100.2,41.0,1.0,원활
CV002290,1540081803,69.5,41.0,1.0,원활
CV002291,1540081803,204.6,41.0,1.0,원활
CV002292,1540081803,173.4,41.0,1.0,원활
CV002298,,,,,
CV002302,,,,,
CV002320,1520011900,180.7,23.0,2.0,지체
CV002321,1560035300,84.6,49.0,1.0,원활
CV002324,,,,,
CV002336,1530000503,264.9,28.0,1.0,원활
CV002346,,,,,
CV002347,,,,,
CV002348,,,,,
CV002350,,,,,
CV002351,,,,,
CV002358,1510023800,194.7,39.0,1.0,원활
CV002371,1530001600,124.1,60.0,1.0,원활
CV002372,,,,,
CV002377,,,,,
CV002388,,,,,
CV002389,1540053700,117.7,51.0,1.0,원활
CV002390,1540048102,110.0,64.0,1.0,원활
CV002393,,,,,
CV002394,,,,,
CV002397,1570422000,138.0,28.0,1.0,원활
CV002401,1510028102,81.6,20.0,2.0,지체
CV002431,1540039302,40.2,17.0,2.0,지체
CV002440,1550033100,59.3,60.0,1.0,원활
CV002468,,,,,
CV002471,1500015300,61.9,21.0,2.0,지체
CV002516,1570424301,254.8,28.0,1.0,원활
CV002570,1540022900,64.6,19.0,2.0,지체
CV002607,1550043403,76.4,42.0,1.0,원활
CV002608,1550043404,38.6,42.0,1.0,원활
CV002609,1550045300,182.9,60.0,1.0,원활
CV002620,1520005100,69.1,27.0,1.0,원활
CV002623,,,,,
CV002633,1540109901,163.9,37.0,1.0,원활
CV002669,,,,,
CV002689,,,,,
CV002690,,,,,
CV002715,1550050100,228.4,36.0,1.0,원활
CV002733,1540073706,352.4,26.0,1.0,원활
CV002735,,,,,
CV002736,,,,,
CV002766,1540078802,154.2,41.0,1.0,원활
CV002767,1540078802,58.4,41.0,1.0,원활
CV002776,,,,,
CV002798,,,,,
CV002819,1550007407,194.8,27.0,1.0,원활
CV002838,,,,,
CV002855,1540091302,157.6,16.0,2.0,지체
CV002856,1540091302,83.6,16.0,2.0,지체
CV002857,1540091302,77.4,16.0,2.0,지체
CV002862,,,,,
CV002872,,,,,
CV002913,,,,,
CV002914,1540085600,117.1,41.0,1.0,원활
CV002915,,,,,
CV002939,1550018500,239.9,25.0,2.0,지체
CV002940,,,,,
CV002950,,,,,
CV002951,,,,,
CV002952,,,,,
CV002956,,,,,
CV002973,1570434300,140.3,59.0,1.0,원활
CV002995,1550027801,52.0,26.0,1.0,원활
CV003039,1540034800,106.9,18.0,2.0,지체
CV003040,,,,,
CV003041,,,,,
CV003042,1560064702,349.3,26.0,1.0,원활
CV003062,1530011302,55.4,21.0,2.0,지체
CV003063,1540102902,138.5,39.0,1.0,원활
CV003064,,,,,
