incidentId,incidenteTypeCd,incidenteSubTypeCd,addressJibun,addressJibunCd,addressNew,linkId,locationDataX,locationDataY,locationTypeCd,locationData,incidenteTrafficCd,incidenteGradeCd,incidentTitle,incTrafficCode,incidentRegionCd,startDate,endDate,lane,roadName,sourceCode,controlType,important,updateDate,traffic_source,fetchedAt,type_nm
L93171380841,2,255,대구 북구 복현동 623,2723011200,대구 북구 동북로 248-2,1540003200,128.62073692924156,35.89295724640031,C0101,,A0503,A0402,[공사] 동북로 복현119안전센터 에서 복현네거리 방향 3차로 도로공사 주의운전,A0503,29,2026년 07월 31일  13시 40분,2026년 07월 31일  17시 10분,3차로,동북로,W013,0,0,,utic,2026-07-31T15:29:04.517682+09:00,공사·작업(2)
L93171378201,2,255,대구 달서구 용산동 968,2729011100,대구 달서구 용산큰못1길 25,1560075200,128.5258813,35.8589019,C0101,,A0502,A0402,[공사] 평리로 용산지하차도 에서 용산지하차도 방향 3차로 도로공사 주의운전,A0502,29,2026년 07월 31일  12시 32분,2026년 07월 31일  19시 02분,3차로,평리로,P000,0,0,2026년 07월 31일  12시 40분,utic,2026-07-31T15:29:04.517682+09:00,공사·작업(2)
L93171370089,2,6,대구 중구 포정동 54-13,2711014300,대구 중구 경상감영길 112-1,1500034202,128.5936331,35.8715007,C0101,,A0502,A0402,[공사] 경상감영길 포정동87 에서 중앙로역3번출구 방향 1차로 유지보수 주의운전,A0502,29,2026년 07월 31일  08시 00분,2026년 07월 31일  16시 30분,1차로,경상감영길,P000,0,0,2026년 07월 31일  08시 19분,utic,2026-07-31T15:29:04.517682+09:00,공사·작업(2)
L93171375679,2,13,대구 중구 동성로2가 41-8,2711011500,대구광역시 중구 국채보상로 지하 580,1500019100,128.5941985790298,35.87123456364048,C0101,,A0502,A0402,[공사] 국채보상로 중앙네거리 에서 중앙로역3번출구 방향 1차로 노변 유지보수 주의운전,A0502,29,2026년 07월 31일  11시 02분,2026년 07월 31일  17시 32분,1차로,국채보상로,P000,0,0,2026년 07월 31일  11시 04분,utic,2026-07-31T15:29:04.517682+09:00,공사·작업(2)
L93171372302,2,15,대구 남구 봉덕동 1581-54,2720010200,대구 남구 용두길 24,1530036301,128.604961,35.8340321,C0101,,A0502,A0402,[공사] 신천대로 한국뇌기능개발센터 에서 화성양로원 방향 1차로 방책 유지보수 주의운전,A0502,29,2026년 07월 31일  09시 18분,2026년 07월 31일  17시 48분,1차로,신천대로,P000,0,0,2026년 07월 31일  09시 19분,utic,2026-07-31T15:29:04.517682+09:00,공사·작업(2)
L93171372246,2,6,대구 수성구 범어동 869,2726010100,대구 수성구 범어로 113,1550046200,128.63553571437396,35.85966501953124,C0101,,A0502,A0402,[공사] 명랑길 성화중학교정문 에서 수성구청역교차로 방향 1차로 유지보수 주의운전,A0502,29,2026년 07월 31일  09시 14분,2026년 07월 31일  15시 44분,1차로,명랑길,P000,0,0,2026년 07월 31일  09시 15분,utic,2026-07-31T15:29:04.517682+09:00,공사·작업(2)
L93171371903,2,6,대구 중구 동문동 40,2711012000,대구 중구 경상감영길 212,1500019800,128.5989671,35.8716808,C0101,,A0502,A0402,[공사] 경상감영길 중앙로역3번출구 에서 시청네거리 방향 1차로 유지보수 주의운전,A0502,29,2026년 07월 31일  08시 57분,2026년 07월 31일  16시 27분,1차로,경상감영길,P000,0,0,2026년 07월 31일  08시 58분,utic,2026-07-31T15:29:04.517682+09:00,공사·작업(2)
L93171384958,1,4,대구 중구 태평로1가 1-5,2711012400,대구 중구 태평로 182,1500022800,128.59751806614423,35.87444357973389,C0101,,A0502,A0402,[사고] 태평로 대구역앞교차로 에서 교동네거리 방향 3차로 화재 주의운전,A0502,29,2026년 07월 31일  15시 23분,2026년 07월 31일  15시 59분,3차로,태평로,P000,0,0,2026년 07월 31일  15시 24분,utic,2026-07-31T15:29:04.517682+09:00,사고·기타(1)
L93171375788,2,2,대구 남구 대명동 2321-1,2720010300,대구 남구 명덕로 58-2,1530024600,128.5905792,35.8560333,C0101,,A0502,A0402,[공사] 중앙대로 명덕네거리 에서 핸즈커피교대점 방향 3차로 지하 시설 작업 주의운전,A0502,29,2026년 07월 31일  11시 06분,2026년 07월 31일  17시 36분,3차로,중앙대로,P000,0,0,2026년 07월 31일  11시 07분,utic,2026-07-31T15:29:04.517682+09:00,공사·작업(2)
L93171400853,2,255,대구 북구 침산동 339-2,2723010600,대구 북구 성북로 31,1540038602,128.5868506,35.8909853,C0101,POINT(128.5868506 35.8909853),A0502,A0402,[공사] 성북로5길 침산동산153 에서 침산초등학교앞교차로 방향 1차로 도로공사 도로보수관련 공사중 입니다.,A0502,29,2026년 08월 01일  03시 32분,2026년 08월 01일  23시 59분,1차로,성북로5길,P000,0,0,,utic,2026-08-01T08:54:26.978501+09:00,공사·작업(2)
