horizon_minutes,feature,rows,null_rate,distinct_values,positive_rate,point_biserial,p_value,spearman,directional_auc,blocked_auc,auc_ci_low,auc_ci_high,mutual_information,q_value
15,history_observed,296449,0.0,2,0.9260142554031217,-0.19415879469399674,0.0,-0.1941587946939969,0.5950759568878464,0.6057308946942872,0.5912043265397621,0.6166077568661291,0.01224868365934273,0.0
15,unobserved_rate,296449,0.0,148,0.9260142554031217,0.13420151176177839,0.0,0.13652372795648557,0.6154768228908252,0.6149507933244115,0.6059909299016477,0.6233051306926595,0.015614874894229525,0.0
30,horizon_minutes,260926,0.0,1,0.9416999455784398,,,,,,,,,
30,available_count,260926,0.0,19,0.9416999455784398,0.08816936663222874,0.0,0.08731876042328322,0.599585364992033,0.577425352596004,0.5590733962712002,0.5972039942102221,0.009630003562214329,0.0
30,usable_count,260926,0.0,18,0.9416999455784398,0.09852041105355462,0.0,0.10874502404823827,0.6179153668446087,0.5998849607374661,0.5661899715725323,0.6282970266255226,0.012365058978152765,0.0
30,known_charger_count,260926,0.0,19,0.9416999455784398,0.09765651770273415,0.0,0.10939775781332624,0.6180145762363047,0.6032581298081705,0.5725237757273628,0.6242845288481349,0.012169203513208826,0.0
30,direct_observed_count,260926,0.0,17,0.9416999455784398,0.11420454843524193,0.0,0.1299975325608764,0.6487999593187586,0.6441198443012575,0.6238433684876822,0.665337171325811,0.011486827874805927,0.0
30,total_chargers,260926,0.0,36,0.9416999455784398,0.09092929778193372,0.0,0.1597789190820724,0.6848837961043841,0.6753760366060589,0.647647375288461,0.6962614083405354,0.01776651046031885,0.0
30,observation_coverage,260926,0.0,142,0.9416999455784398,-0.09614862781804155,0.0,-0.09672901760642273,0.5855366583246433,0.592398298155348,0.5832642043996021,0.6005973933747267,0.013574027058704807,0.0
30,direct_observation_coverage,260926,0.0,108,0.9416999455784398,0.056122574947166104,5.026822058477081e-181,0.05674902741050689,0.558214855894397,0.5635980546008492,0.5390985409576885,0.5955387374244429,0.013718036548890922,7.768724999464581e-181
30,observation_age_minutes,260926,0.0,457,0.9416999455784398,-0.0945199022432417,0.0,-0.09564539698811511,0.5838561605181585,0.5889206428381084,0.5693258815089248,0.6154853786699256,0.0032540042502668953,0.0
30,available_count_delta_1tick,247477,0.05154334945540118,22,0.9424633400275582,-0.0475996436565915,4.284569819772068e-124,-0.03832883144433883,0.5243362361691439,0.5225324663628668,0.5033748883974334,0.5435006091505399,0.005145699206775989,6.069807244677096e-124
30,minutes_since_last_change,260926,0.0,30560,0.9416999455784398,0.07918999779366731,0.0,0.14511804224850752,0.678506506983546,0.6716166195576996,0.6558707720860635,0.6924761436579477,0.013757254920224726,0.0
30,hour,260926,0.0,24,0.9416999455784398,-0.03673259289895269,1.339175467417424e-78,-0.0393962509054345,0.5484912660292012,0.5341812378004478,0.5037065578707502,0.5728934999014422,0.004749871360968605,1.751229457392016e-78
30,weekday,260926,0.0,7,0.9416999455784398,-0.00020738566057123967,0.9156347263548543,-0.0016152230276987815,0.5019577060896405,0.5155638005738108,0.5003433716917637,0.5424292220845089,0.0016048411576141675,0.9156347263548543
30,is_weekend,260926,0.0,2,0.9416999455784398,0.004194669531053638,0.032139221159141404,0.004194669531054015,0.5035729049473663,0.5003796048920441,0.500304839842589,0.5146909216769436,0.002135799617527079,0.03414792248158774
30,sessions_per_charger,13558,0.9480389075829929,187,0.8304322171411712,-0.11139469703992655,1.0737224753416985e-38,-0.14520033501341725,0.611632022495676,0.6099638836051782,0.5892681329791002,0.6263045918685837,0.10140646203690284,1.3038058629149194e-38
30,usage_daytype_avg,13558,0.9480389075829929,338,0.8304322171411712,-0.034426443030504746,6.087493428342159e-05,-0.07166599287655565,0.5551140161767449,0.5569510022925834,0.5425340613162916,0.5693992832007189,0.10570786940385868,6.89915921878778e-05
30,history_observed,260926,0.0,2,0.9416999455784398,-0.11117433108433113,0.0,-0.11117433108432953,0.5526545606957465,0.5469630090216899,0.5319900665869354,0.559381117885587,0.004343157895615901,0.0
30,unobserved_rate,260926,0.0,142,0.9416999455784398,0.09614862781804151,0.0,0.09672901760642273,0.5855366583246432,0.592398298155348,0.5832642043996022,0.6005973933747267,0.008156663362278938,0.0
