충전소ID,기준시각,사용가능_대수,전체_충전기수,관측_가용률,상태신뢰도_등급,관측신선도_등급,좌표_유효,확정가용_여부,위도,경도,미관측_비율,상태경과_분,관측경과_분
HM000582,2026-08-09T07:23:21+09:00,12,20,0.6,확인필요(15분초과),확인필요(15분초과),True,True,35.838152659,128.60212232,0.0,379.21666666666664,370.3333333333333
HM000585,2026-08-09T07:23:21+09:00,7,9,0.875,확인필요(15분초과),확인필요(15분초과),True,True,35.861314317,128.53264718,0.1111111111111111,121.23333333333333,120.11666666666666
HM000587,2026-08-09T07:23:21+09:00,36,38,0.9473684210526315,확인필요(15분초과),확인필요(15분초과),True,True,35.815870956,128.5190854,0.0,35.233333333333334,30.033333333333335
HM000590,2026-08-09T07:23:21+09:00,3,3,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.883735886,128.59729787,0.0,6197.183333333333,6195.183333333333
HM000632,2026-08-09T07:23:21+09:00,34,35,0.9714285714285714,확인필요(15분초과),확인필요(15분초과),True,True,35.8598146,128.507573,0.0,57.233333333333334,50.06666666666667
HM000635,2026-08-09T07:23:21+09:00,11,13,0.9166666666666666,확인필요(15분초과),확인필요(15분초과),True,True,35.85354499,128.52011553,0.07692307692307693,101.18333333333334,100.1
HM000636,2026-08-09T07:23:21+09:00,10,10,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.874076443,128.48070411,0.0,877.2,875.1333333333333
HM000658,2026-08-09T07:23:21+09:00,10,13,0.7692307692307693,확인필요(15분초과),확인필요(15분초과),True,True,35.860216762,128.53187778,0.0,81.2,80.1
HM000665,2026-08-09T07:23:21+09:00,13,13,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.822894958,128.62463337,0.0,75.18333333333334,70.08333333333333
HM000674,2026-08-09T07:23:21+09:00,5,6,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.8556717,128.5129275,0.16666666666666666,789.2,784.9833333333333
HM000676,2026-08-09T07:23:21+09:00,7,14,0.5,보통(5~15분),높음(5분이내),True,True,35.865603134,128.62041353,0.0,7.2,0.0
HM000684,2026-08-09T07:23:21+09:00,7,8,0.875,보통(5~15분),높음(5분이내),True,True,35.8707242,128.5690655,0.0,9.216666666666667,0.0
HM000688,2026-08-09T07:23:21+09:00,32,46,0.9142857142857143,확인필요(15분초과),확인필요(15분초과),True,True,35.7805364,128.4415842,0.2391304347826087,47.18333333333333,40.06666666666667
HM000698,2026-08-09T07:23:21+09:00,1,1,1.0,확인필요(15분초과),확인필요(15분초과),True,True,36.21467677,128.52769583,0.0,2385.1833333333334,2380.8333333333335
HM000720,2026-08-09T07:23:21+09:00,16,20,0.8888888888888888,확인필요(15분초과),보통(5~15분),True,True,35.9202388,128.5483632,0.1,15.166666666666666,10.016666666666667
HM000721,2026-08-09T07:23:21+09:00,21,21,1.0,확인필요(15분초과),보통(5~15분),True,True,35.9330382,128.5443152,0.0,15.166666666666666,10.016666666666667
HM000722,2026-08-09T07:23:21+09:00,16,20,0.8421052631578947,확인필요(15분초과),확인필요(15분초과),True,True,35.8044168,128.5167632,0.05,1945.1666666666667,1939.9833333333333
HM000736,2026-08-09T07:23:21+09:00,3,11,0.2727272727272727,확인필요(15분초과),확인필요(15분초과),True,True,35.916533233,128.6022966,0.0,55.21666666666667,50.06666666666667
HM000738,2026-08-09T07:23:21+09:00,5,6,0.8333333333333334,확인필요(15분초과),확인필요(15분초과),True,True,35.8071235,128.5114835,0.0,31.183333333333334,30.033333333333335
HM000741,2026-08-09T07:23:21+09:00,6,7,0.8571428571428571,확인필요(15분초과),확인필요(15분초과),True,True,35.8865924,128.7168043,0.0,181.2,180.18333333333334
HM000743,2026-08-09T07:23:21+09:00,9,11,0.8181818181818182,보통(5~15분),높음(5분이내),True,True,35.818980414,128.64103955,0.0,5.166666666666667,0.0
HM000746,2026-08-09T07:23:21+09:00,7,10,0.7777777777777778,확인필요(15분초과),확인필요(15분초과),True,True,35.8174984,128.5167499,0.1,367.15,360.3333333333333
HM000755,2026-08-09T07:23:21+09:00,3,3,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.8280055,128.6281209,0.0,169.18333333333334,160.16666666666666
HM000756,2026-08-09T07:23:21+09:00,5,6,0.8333333333333334,확인필요(15분초과),확인필요(15분초과),True,True,35.814881262,128.51559968,0.0,115.18333333333334,110.11666666666666
HM000762,2026-08-09T07:23:21+09:00,19,21,0.9047619047619048,확인필요(15분초과),확인필요(15분초과),True,True,35.8639716,128.4910812,0.0,121.18333333333334,120.11666666666666
HM000763,2026-08-09T07:23:21+09:00,2,4,0.5,확인필요(15분초과),확인필요(15분초과),True,True,35.8142248,128.6159837,0.0,299.1666666666667,290.25
HM000769,2026-08-09T07:23:21+09:00,29,45,0.725,보통(5~15분),높음(5분이내),True,True,35.86723725,128.5494475,0.1111111111111111,7.183333333333334,0.0
HM000771,2026-08-09T07:23:21+09:00,6,6,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.860229653,128.528507,0.0,165.18333333333334,160.16666666666666
HM000773,2026-08-09T07:23:21+09:00,16,19,0.8421052631578947,확인필요(15분초과),확인필요(15분초과),True,True,35.777864,128.438432,0.0,43.15,40.06666666666667
HM000774,2026-08-09T07:23:21+09:00,6,7,0.8571428571428571,확인필요(15분초과),확인필요(15분초과),True,True,35.80937186,128.51362671,0.0,207.18333333333334,200.2
HM000775,2026-08-09T07:23:21+09:00,6,7,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.9298129,128.5573676,0.14285714285714285,79.2,70.08333333333333
HM000788,2026-08-09T07:23:21+09:00,3,3,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.941920792,128.63964093,0.0,229.2,220.21666666666667
HM000789,2026-08-09T07:23:21+09:00,8,9,0.8888888888888888,확인필요(15분초과),확인필요(15분초과),True,True,35.812470177,128.51134883,0.0,203.1,200.2
HM000790,2026-08-09T07:23:21+09:00,4,4,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.9298242,128.5582813,0.0,951.15,945.2666666666667
HM000791,2026-08-09T07:23:21+09:00,5,5,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.829647931,128.70960359,0.0,289.2,280.25
HM000806,2026-08-09T07:23:21+09:00,10,12,0.8333333333333334,확인필요(15분초과),확인필요(15분초과),True,True,35.8785653,128.6219374,0.0,165.18333333333334,160.16666666666666
HM000807,2026-08-09T07:23:21+09:00,1,2,0.5,확인필요(15분초과),확인필요(15분초과),False,True,36.0073837,129.3209622,0.0,347.1666666666667,340.31666666666666
HM000830,2026-08-09T07:23:21+09:00,2,4,0.6666666666666666,확인필요(15분초과),확인필요(15분초과),True,True,35.932252527,128.5584113,0.25,3051.133333333333,3041.9166666666665
HM000835,2026-08-09T07:23:21+09:00,3,4,0.75,확인필요(15분초과),확인필요(15분초과),True,True,35.808126961,128.50000491,0.0,223.15,220.21666666666667
HM000843,2026-08-09T07:23:21+09:00,4,4,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.843114785,128.60581158,0.0,985.1833333333333,975.3
HM000845,2026-08-09T07:23:21+09:00,2,5,0.4,확인필요(15분초과),확인필요(15분초과),True,True,35.845891608,128.61133339,0.0,905.1833333333333,895.2166666666667
HM000847,2026-08-09T07:23:21+09:00,4,5,0.8,확인필요(15분초과),확인필요(15분초과),True,True,35.891342055,128.58841649,0.0,483.1333333333333,474.53333333333336
HM000848,2026-08-09T07:23:21+09:00,2,2,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.865095065,128.60266293,0.0,1081.1833333333334,1075.45
HM000849,2026-08-09T07:23:21+09:00,5,6,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.823311864,128.64144929,0.16666666666666666,623.1166666666667,614.75
HM000850,2026-08-09T07:23:21+09:00,3,5,0.6,확인필요(15분초과),확인필요(15분초과),True,True,35.859343594,128.64539564,0.0,195.16666666666666,190.18333333333334
HM000853,2026-08-09T07:23:21+09:00,3,5,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.857128327,128.61161154,0.4,5531.133333333333,5521.75
HM000864,2026-08-09T07:23:21+09:00,7,9,0.7777777777777778,확인필요(15분초과),확인필요(15분초과),True,True,35.900737081,128.6158679,0.0,299.1333333333333,290.25
HM001013,2026-08-09T07:23:21+09:00,3,5,0.6,확인필요(15분초과),확인필요(15분초과),True,True,35.804286655,128.53325059,0.0,69.13333333333334,60.083333333333336
HM001028,2026-08-09T07:23:21+09:00,10,11,0.9090909090909091,확인필요(15분초과),확인필요(15분초과),True,True,35.918465009,128.54312264,0.0,219.18333333333334,210.2
HM001029,2026-08-09T07:23:21+09:00,3,4,0.75,확인필요(15분초과),확인필요(15분초과),True,True,35.8766044,128.5991137,0.0,193.11666666666667,190.18333333333334
HM001033,2026-08-09T07:23:21+09:00,12,13,0.9230769230769231,확인필요(15분초과),확인필요(15분초과),True,True,35.869928345,128.6161309,0.0,145.18333333333334,140.16666666666666
HM001046,2026-08-09T07:23:21+09:00,2,10,0.2,보통(5~15분),높음(5분이내),True,True,35.924712118,128.55372556,0.0,7.166666666666667,0.0
HM001048,2026-08-09T07:23:21+09:00,4,6,0.6666666666666666,확인필요(15분초과),확인필요(15분초과),True,True,35.844811727,128.6984618,0.0,459.18333333333334,454.51666666666665
HM001049,2026-08-09T07:23:21+09:00,9,15,0.6,확인필요(15분초과),확인필요(15분초과),True,True,35.8760313,128.497964,0.0,69.13333333333334,60.083333333333336
HM001076,2026-08-09T07:23:21+09:00,7,9,0.7777777777777778,확인필요(15분초과),확인필요(15분초과),True,True,35.856365509,128.46484848,0.0,689.1166666666667,684.8166666666667
HM001316,2026-08-09T07:23:21+09:00,14,23,0.6086956521739131,확인필요(15분초과),확인필요(15분초과),True,True,35.8753728,128.7104041,0.0,47.11666666666667,40.06666666666667
HM001407,2026-08-09T07:23:21+09:00,4,5,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.8074242,128.5099231,0.2,909.1333333333333,905.2333333333333
HM001418,2026-08-09T07:23:21+09:00,7,9,0.7777777777777778,확인필요(15분초과),확인필요(15분초과),True,True,35.853971153,128.5202187,0.0,165.11666666666667,160.16666666666666
HM001426,2026-08-09T07:23:21+09:00,7,8,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.854070317,128.51744319,0.125,1017.1333333333333,1015.35
HM001428,2026-08-09T07:23:21+09:00,2,3,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.853192472,128.62606739,0.3333333333333333,911.1333333333333,905.2333333333333
HM001486,2026-08-09T07:23:21+09:00,5,6,0.8333333333333334,확인필요(15분초과),확인필요(15분초과),True,True,35.9432203,128.5520969,0.0,183.1,180.18333333333334
HM001533,2026-08-09T07:23:21+09:00,8,8,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.848732309,128.53638907,0.0,873.0833333333334,865.1333333333333
HM001534,2026-08-09T07:23:21+09:00,5,5,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.840448177,128.713582,0.0,365.0833333333333,360.3333333333333
HM001574,2026-08-09T07:23:21+09:00,2,2,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.867052967,128.6186042,0.0,1451.1166666666666,1445.9
HM001631,2026-08-09T07:23:21+09:00,2,2,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.8393467,128.7135515,0.0,1042.9833333333333,1035.3666666666666
HM001632,2026-08-09T07:23:21+09:00,3,4,0.75,보통(5~15분),높음(5분이내),True,True,35.9106885,128.6465952,0.0,7.1,0.0
HM001646,2026-08-09T07:23:21+09:00,13,18,0.7222222222222222,확인필요(15분초과),확인필요(15분초과),True,True,35.8215468,128.5302813,0.0,277.1,270.23333333333335
HM001647,2026-08-09T07:23:21+09:00,6,6,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.8487323,128.5363891,0.0,2293.0333333333333,2290.75
HM001648,2026-08-09T07:23:21+09:00,21,24,0.875,확인필요(15분초과),확인필요(15분초과),True,True,35.8235828,128.5342978,0.0,63.016666666666666,60.083333333333336
HM001663,2026-08-09T07:23:21+09:00,8,9,0.8888888888888888,높음(5분이내),높음(5분이내),True,True,35.8620309,128.4584408,0.0,3.1,0.0
HM001665,2026-08-09T07:23:21+09:00,15,16,0.9375,확인필요(15분초과),확인필요(15분초과),True,True,35.8073751,128.5460462,0.0,159.11666666666667,150.16666666666666
HM001671,2026-08-09T07:23:21+09:00,6,8,0.75,확인필요(15분초과),확인필요(15분초과),True,True,35.8557807,128.5064521,0.0,402.96666666666664,400.3666666666667
HM001672,2026-08-09T07:23:21+09:00,2,2,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.8803793,128.5944033,0.0,1323.0333333333333,1315.7333333333333
HM001674,2026-08-09T07:23:21+09:00,8,10,0.8,확인필요(15분초과),확인필요(15분초과),True,True,35.8751837,128.7150763,0.0,692.9333333333333,684.8166666666667
HM001697,2026-08-09T07:23:21+09:00,7,8,0.875,확인필요(15분초과),확인필요(15분초과),True,True,35.8578899,128.5261628,0.0,107.08333333333333,100.1
HM001720,2026-08-09T07:23:21+09:00,2,3,0.6666666666666666,확인필요(15분초과),확인필요(15분초과),True,True,35.8440656,128.5354511,0.0,587.0333333333333,584.7166666666667
HM001722,2026-08-09T07:23:21+09:00,4,6,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.8479169,128.6045802,0.3333333333333333,5539.1,5531.766666666666
HM001741,2026-08-09T07:23:21+09:00,6,6,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.902197,128.6204877,0.0,967.0666666666667,965.2833333333333
HM001803,2026-08-09T07:23:21+09:00,3,3,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.8680461,128.7074496,0.0,592.9666666666667,584.7166666666667
HM001804,2026-08-09T07:23:21+09:00,3,4,0.75,확인필요(15분초과),확인필요(15분초과),True,True,35.8815077,128.6673615,0.0,105.03333333333333,100.1
HM001809,2026-08-09T07:23:21+09:00,13,19,0.6842105263157895,보통(5~15분),보통(5~15분),True,True,35.8719777,128.6301116,0.0,12.966666666666667,10.016666666666667
HM001814,2026-08-09T07:23:21+09:00,5,10,0.5,확인필요(15분초과),확인필요(15분초과),True,True,35.858883,128.5048127,0.0,187.08333333333334,180.18333333333334
HM001815,2026-08-09T07:23:21+09:00,9,11,0.8181818181818182,확인필요(15분초과),보통(5~15분),True,True,35.9376242,128.5630429,0.0,15.016666666666667,10.016666666666667
HM001818,2026-08-09T07:23:21+09:00,3,3,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.8379774,128.5421457,0.0,317.03333333333336,310.26666666666665
HM700008,2026-08-09T07:23:21+09:00,2,3,0.6666666666666666,확인필요(15분초과),확인필요(15분초과),True,True,35.8336048,128.6090889,0.0,202.68333333333334,200.2
