statId,busiId,busiNm,bnm,match_name,fee_operator_nm,fee_match_level,fee_type_sample,capacity_class_sample,member_won_sample,nonmember_won_sample,fee_updated_at_sample
ME20C286,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME20C287,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME20C288,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME20C304,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME20C414,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME20D206,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME21A140,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME21A903,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME21A910,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME21B130,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME21B198,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME21B1D2,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME21B262,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME21B301,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME21C219,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME21C228,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME21E401,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME22C189,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME22C193,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME22C1A1,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME22C1A2,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME22C1A3,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME22C1A4,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME22C250,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME22C251,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME22C252,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME22C253,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME22D191,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME22D192,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME22D1C0,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME22D245,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME22D254,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME23A218,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME23B113,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME23B114,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME23B115,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME23B186,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME24A243,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME24A244,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME24A248,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME24B142,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME24B143,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME24B144,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME24B207,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME24B208,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME25C165,ME,기후부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME25C166,ME,기후부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME25C167,ME,기후부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME25C168,ME,기후부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME25C169,ME,환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME25C170,ME,기후부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME25C171,ME,기후부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME25C172,ME,기후부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME25C173,ME,기후부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME25C276,ME,환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME25C277,ME,기후부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME25C278,ME,기후부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME25C425,ME,기후부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME25C426,ME,기후부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME25C427,ME,기후부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME25C428,ME,기후부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
AH000019,AH,아하(주),아하,아하,아하,OPERATOR_TYPE,대표,급속(100kW미만),300.0,360.0,2026-04-10
AH000052,AH,아하(주),아하,아하,아하,OPERATOR_TYPE,대표,급속(100kW미만),300.0,360.0,2026-04-10
AH000082,AH,(주)아하,아하,아하,아하,OPERATOR_TYPE,대표,급속(100kW미만),300.0,360.0,2026-04-10
ALAL0013,AL,아론,아론,아론,아론,OPERATOR_TYPE,대표,급속(100kW미만),340.0,340.0,2026-05-08
AM900026,AM,아마노코리아,아마노코리아,아마노코리아,아마노코리아,OPERATOR_TYPE,대표,급속(100kW이상),330.0,440.0,2026-03-13
AM900047,AM,아마노코리아,아마노코리아,아마노코리아,아마노코리아,OPERATOR_TYPE,대표,급속(100kW이상),330.0,440.0,2026-03-13
AM900048,AM,아마노코리아,아마노코리아,아마노코리아,아마노코리아,OPERATOR_TYPE,대표,급속(100kW이상),330.0,440.0,2026-03-13
AZ100007,AZ,이에스앤에이치,이에스앤에이치,이에스앤에이치,이에스앤에이치,OPERATOR_TYPE,대표,급속(100kW미만)③,348.4,350.0,2026-07-02
AZ100013,AZ,이에스앤에이치,이에스앤에이치,이에스앤에이치,이에스앤에이치,OPERATOR_TYPE,대표,급속(100kW미만)③,348.4,350.0,2026-07-02
AZ100014,AZ,이에스앤에이치,이에스앤에이치,이에스앤에이치,이에스앤에이치,OPERATOR_TYPE,대표,급속(100kW미만)③,348.4,350.0,2026-07-02
AZ100017,AZ,이에스앤에이치,이에스앤에이치,이에스앤에이치,이에스앤에이치,OPERATOR_TYPE,대표,급속(100kW미만)③,348.4,350.0,2026-07-02
AZ100019,AZ,이에스앤에이치,이에스앤에이치,이에스앤에이치,이에스앤에이치,OPERATOR_TYPE,대표,급속(100kW미만)③,348.4,350.0,2026-07-02
AZ100020,AZ,이에스앤에이치,이에스앤에이치,이에스앤에이치,이에스앤에이치,OPERATOR_TYPE,대표,급속(100kW미만)③,348.4,350.0,2026-07-02
AZ100021,AZ,이에스앤에이치,이에스앤에이치,이에스앤에이치,이에스앤에이치,OPERATOR_TYPE,대표,급속(100kW미만)③,348.4,350.0,2026-07-02
AZ100022,AZ,이에스앤에이치,이에스앤에이치,이에스앤에이치,이에스앤에이치,OPERATOR_TYPE,대표,급속(100kW미만)③,348.4,350.0,2026-07-02
