matched_id,parking_name,parking_addr,parking_type,parking_spaces,best_grade,best_distance_m,ev_station_count,best_statId,best_charger_name,evidence
157-4-000007,엠스퀘어플러스,대구 달성군 유가읍 테크노상업로 120,민영,288,STRONG,0.0,2,PI763522,엠스퀘어플러스,좌표 거리 0.0m · 충전소명·주차장명 유사 · 주소 번지 숫자 일치
150-4-000113,동아백화점 쇼핑점 주차장,대구 중구 달구벌대로 2085,민영,90,STRONG,0.0,3,HY000914,대구 동아백화점 쇼핑점,좌표 거리 0.0m · 충전소명·주차장명 유사 · 주소 번지 숫자 일치
154-2-000028,산격4동 유료 공영주차장,대구광역시 북구 산격로19길 4,공영,62,STRONG,0.5,1,ME25C173,산격4동 공영주차장,좌표 거리 0.5m · 주소 번지 숫자 일치
154-2-000032,서변1 공영주차장,대구광역시 북구 서변동 1778,공영,82,STRONG,0.5,5,CV001127,시설공단대구_서변1 공영주차장,좌표 거리 0.5m · 충전소명·주차장명 유사
150-2-000017,서문주차빌딩 주차장,대구광역시 중구 큰장로 26길 45,공영,640,STRONG,0.8,1,CV003482,대구시_서문주차빌딩,좌표 거리 0.8m · 충전소명·주차장명 유사 · 주소 번지 숫자 일치
155-2-000010,범어공영주차장(2급지),대구광역시 수성구 범어동 248-1,공영,62,STRONG,0.8,1,CV001701,범어공영주차장,좌표 거리 0.8m · 충전소명·주차장명 유사 · 주소 번지 숫자 일치
156-3-000001,달서구청,대구 달서구 학산로 45,공영,193,STRONG,0.8,4,CV003484,대구시_달서구청,좌표 거리 0.8m · 충전소명·주차장명 유사 · 주소 번지 숫자 일치
156-2-000031,상인공영주차장,대구시 달서구 상인동 1510,공영,279,STRONG,1.1,4,CV002181,상인공영주차장,좌표 거리 1.1m · 충전소명·주차장명 유사
154-4-000022,동아아울렛 강북점 주차장,대구 북구 칠곡중앙대로 416,민영,398,STRONG,2.0,2,HY000896,대구 동아아울렛 강북점,좌표 거리 2.0m · 충전소명·주차장명 유사 · 주소 번지 숫자 일치
155-4-000030,동아백화점 수성점 주차장,대구 수성구 지범로 191,민영,499,STRONG,3.2,1,HY000912,대구 동아백화점 수성점,좌표 거리 3.2m · 충전소명·주차장명 유사 · 주소 번지 숫자 일치
156-4-000012,롯데백화점 상인점 주차장,대구 달서구 월배로 232,민영,631,STRONG,3.2,2,PI306072,롯데백화점상인점,좌표 거리 3.2m · 충전소명·주차장명 유사 · 주소 번지 숫자 일치
156-4-000014,이마트월배점,대구 달서구 진천로 92,민영,1124,STRONG,3.9,4,ST272924,이마트 월배점,좌표 거리 3.9m · 충전소명·주차장명 유사 · 주소 번지 숫자 일치
153-2-000003,양지로 공영주차장,대구광역시 남구 대명3동 2152-5번지,공영,34,STRONG,4.7,1,KP003776,양지로공영주차장,좌표 거리 4.7m · 충전소명·주차장명 유사
156-2-000057,성서 용산시장 주차장,대구시 달서구 용산동 448-6,공영,36,STRONG,4.9,1,KP005769,성서용산시장공영주차장,좌표 거리 4.9m · 충전소명·주차장명 유사
154-2-000047,칠성공영주차장,대구 북구 칠성남로 196,공영,150,STRONG,5.9,1,CV001592,칠성공영주차장,좌표 거리 5.9m · 충전소명·주차장명 유사 · 주소 번지 숫자 일치
155-2-000059,시지근린공원 공영주차장,대구광역시 수성구 달구벌대로 637길 5,공영,139,STRONG,6.1,5,ME184070,시지근린공원 공영주차장,좌표 거리 6.1m · 충전소명·주차장명 유사 · 주소 번지 숫자 일치
156-2-000010,월광 2주차장,대구시 달서구 도원동 1083,공영,79,STRONG,7.0,1,CV001494,대구 월광주차장,좌표 거리 7.0m · 주소 번지 숫자 일치
154-2-000054,팔달신시장공영주차장,대구광역시 북구 노원로 32,공영,158,STRONG,7.0,2,CV001589,팔달공영주차장,좌표 거리 7.0m · 주소 번지 숫자 일치
151-2-000012,율암동 공영주차장,대구광역시 동구 율암동 524-416,공영,30,STRONG,8.3,1,ME18C259,율암동 공영주차장,좌표 거리 8.3m · 충전소명·주차장명 유사 · 주소 번지 숫자 일치
156-2-000046,송현1동 2공영주차장,대구시 달서구 송현동 1971-2,공영,27,STRONG,8.9,1,CV003100,대구시_송현1동2공영주차장,좌표 거리 8.9m · 충전소명·주차장명 유사 · 주소 번지 숫자 일치
156-2-000085,성서2주차장,대구 달서구 성서동로 293,공영,131,STRONG,9.3,1,CV003800,대구시_성서2공영주차장,좌표 거리 9.3m · 주소 번지 숫자 일치
151-2-000002,반야월 서편공영주차장,대구광역시 동구 신기동 174,공영,69,STRONG,9.8,1,CV003116,대구시_반야월공영주차장,좌표 거리 9.8m · 주소 번지 숫자 일치
156-2-000040,월곡공영주차장,대구시 달서구 상인동 899,공영,59,STRONG,9.9,4,CV001635,대구월곡공영주차장,좌표 거리 9.9m · 충전소명·주차장명 유사
154-2-000058,서리지2주차장,대구광역시 북구 동호동 산35-3,공영,89,STRONG,10.0,1,CV002302,서리지 주차장,좌표 거리 10.0m · 주소 번지 숫자 일치
