statId,chgerId,statNm,addr,lat,lng,busiNm,parkingFree,limitYn,delYn,fetchedAt
ME19X405,43,대구 동촌유원지 서편주차장,대구광역시 동구 효목동 1042,35.879460,128.649155,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19X405,44,대구 동촌유원지 서편주차장,대구광역시 동구 효목동 1042,35.879460,128.649155,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19X405,45,대구 동촌유원지 서편주차장,대구광역시 동구 효목동 1042,35.879460,128.649155,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19X405,46,대구 동촌유원지 서편주차장,대구광역시 동구 효목동 1042,35.879460,128.649155,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19X405,47,대구 동촌유원지 서편주차장,대구광역시 동구 효목동 1042,35.879460,128.649155,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19X413,41,도림사 주차장,대구광역시 동구 인산로,35.9495931,128.7298030,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19X413,42,도림사 주차장,대구광역시 동구 인산로,35.9495931,128.7298030,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19X413,43,도림사 주차장,대구광역시 동구 인산로,35.9495931,128.7298030,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19X413,44,도림사 주차장,대구광역시 동구 인산로,35.9495931,128.7298030,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19X413,45,도림사 주차장,대구광역시 동구 인산로,35.9495931,128.7298030,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19X430,41,대구봉무공원 주차장,대구광역시 동구 봉무동,35.920415,128.647217,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19X430,42,대구봉무공원 주차장,대구광역시 동구 봉무동,35.920415,128.647217,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19X430,43,대구봉무공원 주차장,대구광역시 동구 봉무동,35.920415,128.647217,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19X430,44,대구봉무공원 주차장,대구광역시 동구 봉무동,35.920415,128.647217,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19X430,45,대구봉무공원 주차장,대구광역시 동구 봉무동,35.920415,128.647217,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19X430,46,대구봉무공원 주차장,대구광역시 동구 봉무동,35.920415,128.647217,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19Y406,21,롯데렌탈 대구지점,대구광역시 동구 신암남로 127,35.881162,128.629337,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19Y406,22,롯데렌탈 대구지점,대구광역시 동구 신암남로 127,35.881162,128.629337,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19Y406,23,롯데렌탈 대구지점,대구광역시 동구 신암남로 127,35.881162,128.629337,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19Y406,24,롯데렌탈 대구지점,대구광역시 동구 신암남로 127,35.881162,128.629337,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19Z223,21,이마트 성서점,대구광역시 달서구 이곡동로 24,35.853237,128.510256,기후에너지환경부,N,N,N,2026-08-03 12:40:16
ME19Z223,22,이마트 성서점,대구광역시 달서구 이곡동로 24,35.853237,128.510256,기후에너지환경부,N,N,N,2026-08-03 12:40:16
ME20C182,01,두류1·2동1공영주차장,대구광역시 달서구 두류동 1252-4,35.855857,128.569531,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME20C183,01,서남시장공영주차장,대구광역시 달서구 당산로41길 62,35.854062,128.544736,기후에너지환경부,N,N,N,2026-08-03 12:40:16
ME20C184,91,송현주공시장 공영주차장,대구광역시 달서구 송현로 8안길 6,35.8223214,128.5489175,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME20C185,01,한국산업인력공단 대구지역본부,대구광역시 달서구 성서공단로 213,35.8358783,128.5056659,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME20C186,01,논공읍행정복지센터,대구광역시 달성군 논공읍 비슬로 1779,35.774244,128.420596,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME20C187,01,달성군보건소,대구광역시 달성군 현풍읍 현풍중앙로 27,35.6918817,128.4462723,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME20C188,01,신암3동행정복지센터,대구광역시 동구 신암남로 67,35.879398,128.623172,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME20C189,91,한국사학진흥재단,대구광역시 동구 혁신대로 345,35.87656412,128.7349966,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME20C285,21,달성습지생태학습관,대구광역시 달성군 화원읍 구라1길 88,35.8159000,128.4861019,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME20C285,22,달성습지생태학습관,대구광역시 달성군 화원읍 구라1길 88,35.8159000,128.4861019,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME20C286,21,읍내동 행정복지센터,대구광역시 북구 읍내동 660-2,35.946211,128.550539,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
