statId,statNm,lat,lng,origin_id,origin_label,origin_lat,origin_lng,haversine_km,haversine_eta_min_proxy,tmap_eta_min,tmap_eta_minutes_int,tmap_road_km,tmap_http,tmap_error,fetched_at_kst,eta_source
ME22C250,논공(대구)휴게소(5번국도),35.7642989,128.4020386,dongdaegu,동대구역 인근,35.8797,128.6284,24.108,48.2,57.1,57.0,41.175,200,,2026-08-07T16:22:29+09:00,tmap_routes_trafficInfo_Y
ME22C251,대구동부경찰서,35.8739669,128.7202251,dongdaegu,동대구역 인근,35.8797,128.6284,8.298,16.6,27.9,28.0,9.816,200,,2026-08-07T16:22:30+09:00,tmap_routes_trafficInfo_Y
ME22C252,대구남부경찰서,35.8425421,128.5840598,dongdaegu,동대구역 인근,35.8797,128.6284,5.748,11.5,28.4,28.0,8.664,200,,2026-08-07T16:22:30+09:00,tmap_routes_trafficInfo_Y
ME22C253,한국산업인력공단 대구지역본부,35.83590547,128.50580664,dongdaegu,동대구역 인근,35.8797,128.6284,12.074,24.1,34.5,34.0,18.988,200,,2026-08-07T16:22:31+09:00,tmap_routes_trafficInfo_Y
ME22D191,복현지구대,35.8941604,128.617994,dongdaegu,동대구역 인근,35.8797,128.6284,1.861,3.7,11.2,11.0,2.77,200,,2026-08-07T16:22:31+09:00,tmap_routes_trafficInfo_Y
ME22D192,대곡파출소,35.8030751,128.5287758,dongdaegu,동대구역 인근,35.8797,128.6284,12.379,24.8,44.5,44.0,16.9,200,,2026-08-07T16:22:32+09:00,tmap_routes_trafficInfo_Y
ME22D1C0,강북지구대,35.9436296,128.5696827,dongdaegu,동대구역 인근,35.8797,128.6284,8.86,17.7,24.9,25.0,11.51,200,,2026-08-07T16:22:32+09:00,tmap_routes_trafficInfo_Y
ME22D245,군위전통시장 주차타워,36.2405333,128.5678494,dongdaegu,동대구역 인근,35.8797,128.6284,40.49,81.0,52.6,53.0,48.677,200,,2026-08-07T16:22:33+09:00,tmap_routes_trafficInfo_Y
ME22D254,화원파출소,35.8025315,128.5070956,dongdaegu,동대구역 인근,35.8797,128.6284,13.899,27.8,46.2,46.0,18.688,200,,2026-08-07T16:22:33+09:00,tmap_routes_trafficInfo_Y
ME23A218,대구지방기상청,35.8784641,128.6530046,dongdaegu,동대구역 인근,35.8797,128.6284,2.221,4.4,17.0,17.0,4.032,200,,2026-08-07T16:22:34+09:00,tmap_routes_trafficInfo_Y
ME23B113,군위군청,36.2427968,128.5716618,dongdaegu,동대구역 인근,35.8797,128.6284,40.695,81.4,54.4,54.0,47.933,200,,2026-08-07T16:22:34+09:00,tmap_routes_trafficInfo_Y
