statId,statNm,addr,lat,lng,chargers,parkingFree_Y,parkingFree_N,parkingFree_mode
PW000813,유니버시아드선수촌1단지-107동,대구광역시 북구 동변로 50,35.916835,128.605275,1,1,0,Y
PW000814,시지보성서한타운-301동,대구광역시 수성구 신매로 21,35.832027,128.706130,3,3,0,Y
PW000815,시지보성서한타운-302동,대구광역시 수성구 신매로 21,35.832027,128.706119,3,3,0,Y
PW000864,대실역리슈빌3단지,대구광역시 달성군 다사읍 대실역남로 33,35.854289,128.467133,10,10,0,Y
PW000916,서재2차보성타운-211동,대구광역시 달성군 다사읍 서재로 30길 7,35.876277,128.498284,2,2,0,Y
PW001000,서재2차보성타운-213동,대구광역시 달성군 다사읍 서재로 30길 7,35.877225,128.498251,2,2,0,Y
PW001010,서재2차보성타운-214동,대구광역시 달성군 다사읍 서재로 30길 7,35.876588,128.498381,2,2,0,Y
PW001123,대우트럼프월드수성,대구광역시 수성구 동대구로 59,35.836705,128.623153,9,9,0,Y
PW001124,대우트럼프월드수성 A,대구광역시 수성구 동대구로 59,35.836705,128.623154,8,8,0,Y
PW001179,늘푸른교회,대구광역시 달서구 조암남로14길 13,35.821573,128.525170,1,1,0,Y
PW001186,우진택시,대구광역시 서구 국채보상로5길 8,35.869553,128.534537,2,2,0,Y
PW001195,대구혁신LH4단지-401동,대구광역시 동구 경안로 956,35.886053,128.719086,1,1,0,Y
PW001196,대구혁신LH4단지-402동,대구광역시 동구 경안로 956,35.885575,128.719301,1,1,0,Y
PW001197,대구혁신LH4단지-405동,대구광역시 동구 경안로 956,35.885505,128.718882,1,1,0,Y
PW001198,대구혁신LH4단지-406동,대구광역시 동구 경안로 956,35.885383,128.718335,1,1,0,Y
PW001229,만촌2차우방타운-306동,대구광역시 수성구 교학로11길 91,35.850598,128.65749,2,2,0,Y
PW001230,만촌2차우방타운-307동,대구광역시 수성구 교학로11길 91,35.849783,128.657255,2,2,0,Y
PW001232,산격대우-114동,대구광역시 북구 동북로 163,35.900571,128.611138,2,2,0,Y
PW001233,산격대우-115동,대구광역시 북구 동북로 163,35.900957,128.61194,2,2,0,Y
PW001234,산격대우-116동,대구광역시 북구 동북로 163,35.900556,128.610874,2,2,0,Y
PW001235,산격대우-117동,대구광역시 북구 동북로 163,35.901012,128.610573,2,2,0,Y
PW001236,산격대우-118동,대구광역시 북구 동북로 163,35.901377,128.611142,2,2,0,Y
PW001240,산격대우-119동,대구광역시 북구 동북로 163,35.901158,128.60978,2,2,0,Y
PW001241,산격대우-120동,대구광역시 북구 동북로 163,35.901637,128.609982,2,2,0,Y
PW001242,산격대우-120동 A,대구광역시 북구 동북로 163,35.901637,128.609983,1,1,0,Y
PW001243,산격대우-121동,대구광역시 북구 동북로 163,35.902091,128.610231,2,2,0,Y
PW001244,산격대우-122동,대구광역시 북구 동북로 163,35.899838,128.611474,2,2,0,Y
PW001250,㈜명성정비,대구광역시 서구 서대구로63길 27,35.888347,128.555835,2,2,0,Y
