pkltId,pkltNm,lat,lng,roadNmAddr,lotnoAddr,유료무료,요금수준,일반1시간요금,일반1일요금,결제수단,collected_at
152-2-000019,달서복개천 공영주차장,35.883185,128.559284,,대구광역시 서구 비산동 870-6번지,유료,일반주차장,,4000.0,,2026-08-03 12:10:21
152-2-000020,만평R남편 공영주차장,35.889304,128.562367,,대구광역시 서구 비산동 875번지,유료,일반주차장,7000.0,7000.0,현금,2026-08-03 12:10:21
152-2-000021,원대신시장 공영주차장,35.885892,128.575013,,대구광역시 서구 원대동 3가 1300-3번지,유료,일반주차장,1000.0,10000.0,현금,2026-08-03 12:10:21
152-2-000022,서구 구민 운동장주차장,35.873909,128.542783,,대구광역시 서구 이현동 152-1번지,무료,일반주차장,,,현금,2026-08-03 12:10:21
152-2-000024,달서교하부공영주차장(화물차전용주차장),35.880836,128.533862,,대구광역시 서구 이현동 423-4번지,유료,일반주차장,1000.0,4000.0,,2026-08-03 12:10:21
152-2-000026,서구국민체육센터,35.87383,128.540695,,대구광역시 서구 이현동 315-15번지,무료,일반주차장,,,현금,2026-08-03 12:10:21
152-2-000027,서구청소년수련관,35.873778,128.54585,,대구광역시 서구 이현동 48-8번지,무료,일반주차장,,,,2026-08-03 12:10:21
152-2-000028,상리공원 주차장,35.863067,128.533857,,대구광역시 서구 중리동 1177번지,무료,일반주차장,,,,2026-08-03 12:10:21
152-2-000029,공한지주차장(임시무료공영주차장),35.869224,128.567616,,대구광역시 서구 평리동 1137-77번지,무료,일반주차장,,,,2026-08-03 12:10:21
152-2-000030,신평리시장 공영주차장,35.868003,128.561085,,대구광역시 서구 평리동 1206-1번지,유료,일반주차장,,6000.0,,2026-08-03 12:10:21
152-2-000031,평리4동 공영주차장,35.868363,128.561237,,대구광역시 서구 평리동 1207-2번지,유료,일반주차장,1500.0,6000.0,현금,2026-08-03 12:10:21
152-2-000032,평리도서관,35.868876,128.56231,,대구광역시 서구 평리동 1208-6번지,무료,일반주차장,,,현금,2026-08-03 12:10:21
152-2-000033,공한지주차장,35.877151,128.554155,,대구광역시 서구 평리동 615-13번지,무료,일반주차장,,,,2026-08-03 12:10:21
152-2-000034,공한지주차장(임시무료공영주차장),35.87858,128.567059,,대구광역시 서구 평리동 6159-11번지,무료,일반주차장,,,,2026-08-03 12:10:21
152-2-000035,공한지주차장,35.878623,128.560752,,대구광역시 서구 평리동 668번지,무료,일반주차장,,,,2026-08-03 12:10:21
152-2-000036,공한지주차장,35.87782,128.56544,,대구광역시 서구 평리동 742-156번지,무료,일반주차장,,,,2026-08-03 12:10:21
152-2-000037,원고개시장 공영주차장,35.879948,128.567863,,대구광역시 서구 평리동 764-10번지,유료,일반주차장,6000.0,10000.0,,2026-08-03 12:10:21
152-2-000038,평리1동 공영주차장(들마을 사랑방주차장),35.876017,128.566146,,대구광역시 서구 평리동 791-5번지,무료,일반주차장,,,현금,2026-08-03 12:10:21
152-2-000044,서대구역남편 공영주차장,35.880369,128.53964,,대구광역시 서구 이현동 236-1번지,유료,일반주차장,,10000.0,현금+신용카드,2026-08-03 12:10:21
152-2-000045,염색산업단지 제1공영주차장,35.886272,128.544358,,대구광역시 서구 비산동 3184번지,유료,일반주차장,600.0,2000.0,카드,2026-08-03 12:10:21
152-2-000046,염색산업단지 제2공영주차장,35.888034,128.549264,,대구광역시 서구 비산동 2024-61번지,유료,일반주차장,600.0,2000.0,카드,2026-08-03 12:10:21
152-2-000047,염색산업단지 제3공영주차장,35.88357,128.551065,,대구광역시 서구 비산동 2037-37번지,유료,일반주차장,600.0,2000.0,카드,2026-08-03 12:10:21
152-2-000048,임시무료공영주차장,35.882369,128.563907,,대구광역시 서구 비산1동 2110-11번지,무료,일반주차장,,,카드,2026-08-03 12:10:21
152-2-000049,임시무료공영주차장,35.876125,128.561439,,대구광역시 서구 평리동 934번지,무료,일반주차장,,,,2026-08-03 12:10:21
152-2-000050,서대구역광장 1주차장,35.87903625,128.54051094,,대구 서구 이현동 268-2,유료,,,10000.0,신용카드,2026-08-03 12:10:21
152-2-000051,서대구역광장 2주차장,35.87798161,128.54065318,대구 서구 문화로13길 39,대구 서구 이현동 182-3,유료,,,10000.0,신용카드,2026-08-03 12:10:21
