pkltId,pkltNm,lat,lng,roadNmAddr,유료무료
151-1-000120,영남일보앞 공영주차장,35.869087,128.62575,,유료
151-1-000121,용계동 768-2 주차장,35.870226,128.686179,,무료
151-1-000122,율하2 공영주차장,35.863123,128.695122,,유료
151-1-000123,율하1 공영주차장,35.862952,128.696919,,유료
151-1-000124,율하3 공영주차장,35.863557,128.696043,,유료
151-1-000125,율하동로19길 (1),35.869273,128.69614,,무료
151-1-000126,율하동로19길 (2),35.868562,128.69888,,무료
151-1-000127,율하동로20길 (1),35.868101,128.703024,,무료
151-1-000128,율하동로20길 (2),35.867877,128.705056,,무료
151-1-000129,율하동로20길 (3),35.867694,128.706624,,무료
151-1-000130,율하동로23길 (1),35.870195,128.69812,,무료
151-1-000131,율하동로23길 (2),35.869878,128.701085,,무료
151-1-000132,율하동로24길 (1),35.869638,128.703197,,무료
151-1-000133,율하동로24길 (2),35.869431,128.705283,,무료
151-1-000134,율하동로24길 (3),35.869201,128.707355,,무료
151-1-000135,율하롯데캐슬탑클래스 아파트 앞,35.866582,128.69227,,무료
151-1-000136,입석로 (1),35.892545,128.646529,,무료
151-1-000137,입석로 (2),35.891049,128.649886,,무료
151-1-000138,입석로 (3),35.889597,128.653716,,무료
151-1-000139,입석로 (4),35.888214,128.655336,,무료
151-1-000140,입석로 (5),35.886629,128.657947,,무료
151-1-000141,입석로1길,35.892968,128.64814,,무료
151-1-000142,입석로3길,35.891468,128.651772,,무료
151-1-000143,중앙고속 차고지 앞 주차장,35.872243,128.627935,,유료+무료
151-1-000144,큰고개 보성아파트 앞,35.886711,128.623482,,무료
151-1-000147,태왕아너스 르네상스 아파트 앞,35.886823,128.651107,,무료
151-1-000148,팔공2차보성타운 앞,35.941134,128.641339,,무료
151-1-000149,팔공로24길,35.910667,128.64982,,무료
151-1-000150,팔공로25길,35.91008,128.640628,,무료
151-1-000151,팔공로28길,35.911467,128.651099,,무료
151-1-000152,팔공로29길,35.911722,128.640693,,무료
151-1-000153,팔공로31길,35.914087,128.639902,,무료
151-1-000154,팔공로37길,35.915706,128.639967,,무료
151-1-000155,팔공로38길,35.915687,128.642361,,무료
151-1-000156,한전동대구지점앞 주차장,35.878094,128.641828,,무료
151-1-000157,해동로 (동),35.895576,128.637797,,무료
151-1-000158,해동로 (서),35.896336,128.637735,,무료
151-1-000159,해동로 강변방향 (1),35.892866,128.637602,,무료
151-1-000160,해동로 강변방향 (2),35.891102,128.639715,,무료
151-1-000161,해동로 공항방향 (1),35.892888,128.637774,,무료
151-1-000162,해동로 공항방향 (2),35.89116,128.639754,,무료
151-1-000163,해동로53길,35.895031,128.642562,,무료
151-1-000164,해동로5길,35.894874,128.640072,,무료
151-1-000165,혁신이노힐즈아파트 앞,35.87627411,128.74924639,,무료
151-1-000166,호반길,35.882272,128.657476,,무료
151-1-000167,화랑로19길,35.873256,128.636553,,무료
151-1-000168,화랑로25길,35.874755,128.640605,,무료
151-1-000169,화랑로27길 (1),35.87548,128.641065,,무료
151-1-000170,화랑로27길 (2),35.877044,128.644146,,무료
151-1-000171,화랑로39길 (1),35.880843,128.645209,,무료
151-1-000172,화랑로39길 (2),35.880021,128.645343,,무료
151-1-000173,화랑로41길 (1),35.880712,128.646295,,무료
151-1-000174,화랑로41길 (2),35.879287,128.64799,,무료
151-1-000175,화랑로69길 (1),35.878436,128.661837,,무료
151-1-000176,화랑로69길 (2),35.878157,128.662058,,무료
151-1-000177,화랑로73길,35.879402,128.662723,,무료
151-1-000178,화랑로75길,35.879583,128.666432,,무료
151-1-000179,화랑로9길 (1),35.871098,128.631866,,무료
151-1-000180,화랑로9길 (2),35.871577,128.630455,,무료
151-1-000181,효동로15길,35.883295,128.643141,,무료
151-1-000182,효동로1길,35.878924,128.646438,,무료
151-1-000183,효동로3길 (1),35.880064,128.645938,,무료
151-1-000184,효동로3길 (2),35.87997,128.646793,,무료
151-1-000185,효동로6길 (1),35.882714,128.648124,,무료
151-1-000186,효동로6길 (2),35.882201,128.649464,,무료
151-1-000187,효목로17길,35.881393,128.641103,,무료
151-1-000188,효목로19길 (1),35.88283,128.636309,,무료
151-1-000189,효목로19길 (2),35.883291,128.638384,,무료
151-1-000190,효목로19길 (3),35.883895,128.638222,,무료
151-1-000191,효목로5길,35.876713,128.636713,,무료
151-1-000192,효신로5길,35.875751,128.630174,,무료
151-1-000193,동구시장,35.874497,128.640464,,유료
151-1-000194,금강로,35.867108,128.724249,,유료
151-1-000195,각산동 1067-10 공한지주차장,35.88073727,128.7181694,대구광역시 동구 각산동 1067-10,
151-1-000196,화랑로9길 공영주차장,35.87125399,128.63133859,,
151-2-000001,반야월 동편공영주차장(반야월 시장주차장),35.871995,128.703269,,유료+무료
151-2-000002,반야월 서편공영주차장,35.872427,128.702019,,유료+무료
151-2-000003,동촌유원지 1 공영주차장,35.878982,128.649864,,유료
151-2-000004,동촌유원지 2 공영주차장,35.879949,128.649541,,유료
151-2-000005,혁신도시 공영주차장,35.878961,128.73476,,유료
151-2-000006,신천1·2동 공영주차장,35.874919,128.615018,,유료
151-2-000007,방촌 공영주차장(방촌시장),35.881092,128.663008,,유료
151-2-000008,평화시장 공영주차장,35.88414,128.620031,,유료
151-2-000009,내동 공영주차장,35.968186,128.661302,,무료
151-2-000010,도평동 제 2공영주차장,35.910091,128.652766,,무료
151-2-000011,해안동 공영주차장,35.891186,128.677098,,무료
151-2-000012,율암동 공영주차장,35.879976,128.70133,,무료
151-2-000013,도평동 공영주차장,35.910177,128.650151,,무료
151-2-000014,안심 2동 공영주차장,35.875465,128.686723,,무료
151-2-000015,율하역 환승주차장(공한지주차장),35.871286,128.69337,,무료
151-2-000016,미대동 공영주차장(구암팜스테이 마을 공한지주차장),35.952493,128.67703,,무료
151-2-000017,위남마을 공영주차장(공한지주차장),35.928955,128.635561,,무료
151-2-000018,불로동 공영주차장(공한지주차장),35.909594,128.639684,,무료
151-2-000019,신천3동 공용주차장,35.877252,128.621149,,무료
151-2-000020,신천3동 공영주차장,35.874607,128.621141,,유료
151-2-000021,나불지 공영주차장,35.878389,128.719739,,무료
151-2-000022,불로 전통시장 공영주차장,35.912273,128.642422,,유료
151-2-000023,안심 공영주차장,35.86945,128.735321,,유료
151-2-000024,공항시장 공영유료주차장,35.896053,128.638402,,유료
151-2-000025,동촌유원지(해맞이동산),35.884066,128.645463,,무료
151-2-000026,동촌유원지(통천사),35.886964,128.641847,,무료
151-2-000027,신암근린공원 주차장,35.887976,128.622551,,무료
151-2-000028,봉무공원 제1주차장,35.920759,128.646559,,무료
151-2-000029,봉무공원 제2주차장,35.920865,128.64549,,무료
151-2-000030,불로고분공원 주차장,35.913419,128.644201,,무료
151-2-000031,단산유적공원 주차장,35.917718,128.639447,,무료
151-2-000032,율하체육공원 주차장,35.860564,128.694461,,무료
151-2-000033,율하체육공원 주차장,35.860544,128.691949,,무료
151-2-000034,율하체육공원 주차장,35.8597,128.6992,,무료
151-2-000035,서원연경공원 주차장,35.942039,128.629965,,무료
151-2-000036,신서중앙공원 주차장,35.880463,128.734154,,무료
151-2-000037,불로다목적운동장 주차장,35.908143,128.633447,,무료
151-2-000038,옻골 전통마을 주차장,35.904475,128.685728,,무료
151-2-000039,방촌동 복개시설 주차장,35.884525,128.658606,,무료
151-2-000040,동대구역 고가교 하단 (노상)공영주차장,35.880466,128.626671,,유료
151-2-000041,갓바위 1공영주차장,35.96925641,128.72522658,,유료
151-2-000042,갓바위 2공영주차장,35.96962541,128.7257279,,유료
151-2-000043,갓바위 3공영주차장,35.9700777,128.72592065,,유료
151-2-000044,갓바위 4공영주차장(버스전용),35.97050292,128.72611558,,유료
151-2-000045,갓바위 5공영주차장,35.97019686,128.72656341,,유료
151-2-000046,공항1 공영주차장,35.897553,128.638481,,유료
151-2-000047,공항2 공영주차장,35.897783,128.637755,,유료
151-2-000048,동대구역 맞이주차장,35.879093,128.626274,대구 동구 동대구로 550,유료
151-2-000051,망우당공원 공영주차장(택시 쉼터),35.876291,128.656308,대구 동구 효동로2길 93,무료
151-2-000059,팔공산 자원공원 관리사무소 주차장,35.989638,128.696084,,무료
151-2-000065,용계동 공영주차장(공한지주차장),35.876729,128.675808,,무료
151-2-000066,신암4동 공영주차장,35.885302,128.627886,,무료
151-2-000067,신암동 614-22 공한지 주차장,35.885668,128.624558,,무료
151-2-000068,동호동 97-10 공한지 주차장,35.870671,128.713551,,무료
151-2-000069,검사동 743-7 공한지 주차장,35.887045,128.660818,,무료
151-2-000070,방촌동 1084-182 공한지 주차장,35.879349,128.664876,,무료
151-2-000071,효목동 401-7 공한지주차장,35.875353,128.634954,,무료
151-2-000072,동호동 53-3 공한지 주차장,35.87188,128.712021,,무료
151-2-000073,동촌동 제2공영주차장,35.886106,128.660455,,무료
151-2-000074,신암동 639-4 공한지 주차장,35.886522,128.619045,,무료
151-2-000075,지저동 822-6 공한지 주차장,35.892982,128.640139,,무료
151-2-000076,사복동 844-2 공한지 주차장,35.876105,128.751241,,무료
151-2-000077,서호동6-1 공한지 주차장,35.872028,128.709938,,무료
151-2-000078,대림동 889 공한지 주차장,35.873095,128.748132,,무료
151-2-000079,천변 다목적광장 주차장(아양교 서편),35.892789,128.636181,,무료
151-2-000080,해맞이다리 주차장,35.884817,128.651131,,무료
151-2-000081,천변주차장(화량교 서편),35.879345,128.659587,,무료
151-2-000083,안심3동 공영주차장,35.865991,128.724194,,무료
151-2-000084,율하동 139-3 공한지 주차장,35.872204,128.698842,,무료
151-2-000085,안심1동 공영주차장,35.866216,128.690956,,무료
151-2-000086,지묘동 1354-1 공한지 주차장,35.943044,128.630105,,무료
151-2-000087,효목마을 공영주차장,35.874112,128.638802,,유료
151-2-000088,효목2동 마을공원 주차장,35.878024,128.635463,,유료
151-2-000089,동촌유원지 3 공영주차장,35.8782969,128.6548199,,
151-2-000090,검사동 748-4 공한지주차장,35.88611712,128.66051232,대구 동구 방촌로11길 10-11,
151-2-000091,신천동 35-10 공한지주차장,35.87725979,128.62121148,신천동 35-10,
151-2-000092,신암동 250-8 공한지주차장,35.88533164,128.62787895,대구광역시 동구 신암동 250-8,
151-2-000093,각산동 1067-4 공한지주차장,35.88055973,128.71861124,대구광역시 동구 각산동 1067-4,
151-2-000094,신천동 835-1 공한지주차장,35.86909769,128.61753834,대구광역시 동구 신천동 835-1,
151-2-000095,불로동 1066-14 공한지주차장,35.89604298,128.63424768,대구광역시 동구 불로동 1066-14,
151-2-000096,지묘동 1351 공한지주차장,35.9444434,128.62872785,대구광역시 동구 지묘동 1351,
151-2-000097,각산동 1071-7 공한지주차장,35.88030496,128.71894068,대구광역시 동구 각산동 1071-7,
151-2-000098,사복동 844-6 공한지주차장,35.87594753,128.75109654,대구광역시 동구 사복동 844-6,무료
151-2-000099,율암동 1249 공한지주차장,35.87348906,128.70368604,대구광역시 동구 율암동 1249,
151-2-000100,신서동 823-152 공한지주차장,35.87244809,128.72327703,대구광역시 동구 신서동 823-152,
151-2-000101,봉무동 1548-1 공한지주차장,35.92069142,128.63654667,"대구광역시 동구 봉무동 1548-1, 1548-10",
151-2-000102,각산동 1020 공한지 주차장,35.89105481,128.70856126,,
151-4-000047,신세계 백화점 대구점,35.87736789,128.62807548,대구 동구 동부로 149,유료
